Subj_idx,Stimulus,Response,Confidence,RT_dec,Validity,CTOA,Cue_position
1,-1,-1,1,3.772424936,V,850,-1
1,1,1,1,0.711165905,V,450,1
1,-1,-1,0,1.811744928,I,250,1
1,-1,-1,0,1.511562109,I,150,1
1,-1,1,1,1.681725979,I,150,-1
1,-1,1,1,0.871564865,I,100,-1
1,1,1,1,0.651184082,I,450,-1
1,-1,1,1,0.931509018,V,100,1
1,1,-1,0,1.831520081,V,100,-1
1,-1,-1,1,0.78134203,I,850,1
1,-1,1,0,0.751394987,I,250,-1
1,1,1,1,0.561089993,V,150,1
1,1,1,0,4.71297884,V,450,-1
1,-1,-1,0,1.74171114,I,450,-1
1,-1,-1,1,0.781116009,V,450,1
1,1,1,1,0.801377058,I,150,-1
1,1,-1,0,1.181258917,I,850,1
1,1,1,1,0.941357136,I,850,-1
1,1,1,0,2.641939163,V,150,-1
1,1,-1,0,1.221561909,I,100,1
1,1,1,1,0.691439867,V,100,1
1,1,1,1,0.631677151,I,100,-1
1,-1,-1,1,0.731348991,V,150,-1
1,1,1,0,1.091357231,V,850,-1
1,1,-1,0,2.011750937,I,250,1
1,-1,-1,1,1.301609039,V,150,1
1,-1,-1,0,1.951717138,V,850,1
1,-1,-1,1,1.131392956,I,100,1
1,1,-1,1,0.931239128,I,450,1
1,-1,-1,1,0.761302948,I,450,1
1,1,1,1,0.601432085,V,250,1
1,1,1,1,0.720616102,I,250,-1
1,-1,-1,1,0.82130003,V,450,-1
1,1,1,0,1.201617003,I,150,1
1,-1,1,0,0.651461124,V,250,1
1,-1,-1,1,1.291306973,V,100,-1
1,1,1,1,0.941309929,V,850,1
1,-1,-1,0,0.801310062,I,850,-1
1,-1,-1,1,0.941398859,V,250,-1
1,1,1,0,2.712158918,V,250,-1
1,1,1,1,0.921409845,I,450,-1
1,1,1,1,0.721333981,V,850,1
1,-1,-1,0,1.051364899,V,450,1
1,-1,1,0,0.651078939,V,250,1
1,-1,-1,1,0.881251812,I,150,1
1,1,-1,0,2.601961136,V,150,-1
1,-1,-1,1,0.791049957,I,450,1
1,-1,-1,1,1.100487948,I,850,-1
1,1,1,0,2.612226009,V,250,-1
1,-1,-1,1,0.701271057,V,450,-1
1,-1,-1,1,0.761107206,V,100,1
1,1,1,1,0.6612041,V,150,1
1,1,-1,0,2.49206996,I,450,1
1,-1,-1,1,1.061240196,V,850,-1
1,1,1,1,0.63117218,I,150,-1
1,1,1,1,0.991454125,I,150,1
1,-1,1,1,1.131294966,I,150,-1
1,-1,1,1,0.681241036,I,100,-1
1,1,1,0,2.291903019,V,450,-1
1,1,1,0,1.00139308,I,100,1
1,-1,-1,1,0.73131609,I,850,1
1,1,1,1,0.601271153,V,450,1
1,-1,-1,0,0.690898895,I,250,1
1,-1,-1,1,0.861294985,V,150,-1
1,1,1,1,0.641016007,V,250,1
1,1,-1,0,0.931302071,V,100,-1
1,1,1,0,0.90149188,I,250,-1
1,1,1,1,0.841464043,I,250,1
1,-1,-1,0,1.001323938,V,850,1
1,-1,-1,1,1.081429005,I,250,-1
1,1,-1,0,2.791944981,I,850,1
1,1,1,0,1.001164913,V,850,-1
1,1,1,1,0.791227102,I,850,-1
1,-1,-1,1,1.311841011,I,100,1
1,-1,-1,1,0.78113389,V,100,-1
1,1,1,1,0.751344919,I,100,-1
1,-1,-1,1,0.641192913,V,250,-1
1,-1,-1,0,1.12146306,V,150,1
1,1,1,1,0.611156941,V,100,1
1,-1,1,1,0.521187067,I,450,-1
1,1,1,1,1.331570864,I,100,1
1,1,-1,0,0.861099958,I,150,1
1,-1,-1,1,0.661061049,I,450,1
1,-1,1,1,0.751245976,V,850,1
1,-1,-1,0,0.631242991,I,450,-1
1,1,1,0,0.821294069,I,850,-1
1,1,1,1,1.391608954,V,850,1
1,-1,-1,1,0.921152115,I,250,1
1,1,1,0,1.991652012,I,250,1
1,1,1,1,0.831473112,I,150,-1
1,-1,-1,1,0.651139021,V,850,-1
1,-1,-1,0,1.131319046,V,450,1
1,1,1,0,0.601215839,V,150,1
1,-1,-1,1,0.691231966,I,100,1
1,1,1,1,0.841318131,I,450,1
1,-1,-1,0,0.781122923,V,150,-1
1,1,1,1,0.61141181,I,450,-1
1,-1,-1,0,2.301928997,I,250,-1
1,1,1,1,0.891330004,I,100,-1
1,1,-1,0,1.541492939,V,250,-1
1,1,1,1,0.68125391,V,250,1
1,1,1,1,0.811681986,V,100,-1
1,-1,-1,0,2.992232084,I,150,-1
1,1,1,0,0.771336079,V,450,1
1,-1,1,0,0.631187201,V,250,1
1,-1,1,0,2.081823111,I,850,-1
1,-1,-1,1,0.600865126,V,450,-1
1,-1,-1,1,0.721223116,V,100,-1
1,1,1,1,0.881375074,V,850,-1
1,-1,-1,0,0.601138115,V,150,1
1,1,1,0,0.641249895,V,100,1
1,-1,1,0,1.411659002,I,100,-1
1,1,1,0,3.802565098,I,850,1
1,-1,-1,1,0.721004009,V,250,-1
1,-1,-1,1,0.781126022,V,100,1
1,1,1,1,0.761111975,I,250,-1
1,-1,-1,0,1.030987978,I,850,1
1,1,-1,0,0.941351891,V,150,-1
1,-1,-1,1,0.561151981,I,150,1
1,1,1,0,0.691231012,V,450,-1
1,-1,-1,0,0.761229038,V,850,-1
1,-1,-1,0,0.700943947,V,450,1
1,1,1,1,0.611311913,V,850,1
1,-1,-1,1,0.921181917,I,100,1
1,1,1,1,0.741332054,I,850,-1
1,1,-1,0,2.261590004,V,150,-1
1,1,1,1,0.721421957,I,250,-1
1,1,-1,0,1.761680126,I,100,1
1,1,1,1,0.671247006,V,150,1
1,-1,-1,1,0.971268177,I,850,1
1,-1,1,0,0.771370888,I,450,-1
1,1,1,0,0.611238003,V,250,1
1,-1,-1,1,0.741243124,I,150,1
1,1,1,0,2.842061997,I,250,1
1,-1,-1,1,0.751106024,V,450,-1
1,1,-1,1,0.841382027,V,250,-1
1,-1,-1,1,0.591259956,I,450,1
1,-1,1,0,1.561587095,I,850,-1
1,-1,-1,1,0.701200008,V,150,-1
1,-1,-1,1,0.691002846,I,250,1
1,-1,1,0,2.632381916,I,250,-1
1,-1,-1,1,0.721168041,V,250,-1
1,1,-1,0,1.751658917,I,150,1
1,1,-1,0,0.951341867,V,850,-1
1,1,-1,0,1.241403103,I,450,1
