Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Training,Accuracy
5,2,2,NaN,1.933,NaN,1,1,1
5,1,1,NaN,1.288,NaN,1,1,1
5,1,2,NaN,0.672,NaN,0.95,1,0
5,2,2,NaN,0.608,NaN,0.5,1,1
5,1,2,NaN,0.156,NaN,1,1,0
5,2,2,NaN,0.754,NaN,0.5,1,1
5,2,1,NaN,0.686,NaN,1.05,1,0
5,2,1,NaN,1.1,NaN,1.1,1,0
5,1,1,NaN,1.053,NaN,0.5,1,1
5,2,1,NaN,1.286,NaN,0.5,1,0
5,1,1,NaN,0.938,NaN,0.55,1,1
5,2,2,NaN,1.053,NaN,0.6,1,1
5,2,2,NaN,1.37,NaN,1.15,1,1
5,2,2,NaN,1.353,NaN,1.2,1,1
5,2,2,NaN,0.754,NaN,0.55,1,1
5,2,2,NaN,1.336,NaN,1.15,1,1
5,1,2,NaN,1.471,NaN,0.5,1,0
5,2,1,NaN,1.42,NaN,0.55,1,0
5,2,2,NaN,1.22,NaN,0.6,1,1
5,2,2,NaN,1.153,NaN,0.65,1,1
5,2,1,NaN,1.752,NaN,0.6,1,0
5,1,2,NaN,0.885,NaN,0.65,1,0
5,1,2,NaN,0.656,NaN,0.7,1,0
5,1,1,NaN,0.655,NaN,1.1,1,1
5,2,1,NaN,0.969,NaN,0.75,1,0
5,2,2,NaN,1.282,NaN,0.8,1,1
5,1,1,NaN,0.972,NaN,0.85,1,1
5,2,2,NaN,1.741,NaN,1.05,1,1
5,2,2,NaN,1.053,NaN,0.8,1,1
5,2,1,NaN,1.37,NaN,1,1,0
5,1,1,NaN,0.806,NaN,0.75,1,1
5,1,1,NaN,0.773,NaN,0.7,1,1
5,2,1,NaN,0.805,NaN,1.05,1,0
5,1,1,NaN,0.589,NaN,1.1,1,1
5,2,1,NaN,1.437,NaN,1.15,1,0
5,2,2,NaN,0.92,NaN,1.2,1,1
5,1,1,NaN,0.671,NaN,1.25,1,1
5,1,1,NaN,0.555,NaN,1.2,1,1
5,2,2,NaN,1.041,NaN,1.15,1,1
5,1,1,NaN,0.508,NaN,1.1,1,1
5,2,2,NaN,0.936,NaN,0.65,1,1
5,2,2,NaN,1.087,NaN,1.05,1,1
5,2,2,NaN,1.058,NaN,0.6,1,1
5,2,1,NaN,0.821,NaN,0.55,1,0
5,2,2,NaN,0.786,NaN,1,1,1
5,1,1,NaN,0.706,NaN,0.95,1,1
5,2,2,NaN,1.071,NaN,0.6,1,1
5,1,1,NaN,0.606,NaN,0.65,1,1
5,2,2,NaN,1.635,NaN,0.9,1,1
5,1,1,NaN,0.821,NaN,0.6,1,1
5,2,2,NaN,1.437,NaN,0.85,1,1
5,2,2,NaN,0.721,NaN,0.8,1,1
5,2,2,NaN,0.952,NaN,0.55,1,1
5,2,1,NaN,0.873,NaN,0.75,1,0
5,1,1,NaN,0.805,NaN,0.5,1,1
5,1,1,NaN,0.739,NaN,0.5,1,1
5,2,1,NaN,1.387,NaN,0.5,1,0
5,2,2,NaN,0.887,NaN,0.8,1,1
5,2,2,NaN,0.704,NaN,0.55,1,1
5,1,1,NaN,1.153,NaN,0.6,1,1
5,1,1,NaN,0.755,NaN,0.85,1,1
5,1,1,NaN,0.657,NaN,0.8,1,1
5,1,1,NaN,0.656,NaN,0.75,1,1
5,2,2,NaN,0.619,NaN,0.7,1,1
5,1,1,NaN,0.922,NaN,0.65,1,1
5,1,1,NaN,0.539,NaN,0.55,1,1
5,1,1,NaN,0.572,NaN,0.5,1,1
5,2,1,NaN,0.575,NaN,0.6,1,0
5,2,1,NaN,0.447,NaN,0.5,1,0
5,1,1,NaN,0.289,NaN,0.55,1,1
5,1,1,NaN,0.474,NaN,0.65,1,1
5,1,1,NaN,0.34,NaN,0.6,1,1
5,2,1,NaN,0.422,NaN,0.55,1,0
5,1,1,NaN,0.572,NaN,0.6,1,1
5,1,1,NaN,0.622,NaN,0.7,1,1
5,2,2,NaN,0.638,NaN,0.65,1,1
5,1,1,NaN,0.639,NaN,0.65,1,1
5,2,1,NaN,0.538,NaN,0.6,1,0
5,1,2,NaN,0.506,NaN,0.65,1,0
5,2,1,NaN,0.454,NaN,0.6,1,0
5,2,2,4.65625,0.954,3.281,0.6375,0,1
5,1,1,2.1375,1.019,2.063,0.6375,0,1
5,1,1,6,0.539,1.317,0.6375,0,1
5,1,1,6,0.738,1.268,0.6375,0,1
5,2,2,4.9,0.921,1.283,0.6375,0,1
5,2,1,3.08125,1.589,2.199,0.6375,0,0
5,1,1,5.96875,0.754,1.45,0.6375,0,1
5,1,1,6,0.755,1.649,0.6375,0,1
5,2,2,4.5125,0.937,1.114,0.6375,0,1
5,1,1,6,0.624,2.098,0.6375,0,1
5,2,2,3.775,1.236,2.749,0.6375,0,1
5,1,1,3.2,0.889,2.099,0.6375,0,1
5,1,1,1,1.321,2.482,0.6375,0,1
5,2,2,5.61875,0.52,1.234,0.6375,0,1
5,2,2,2.19375,1.236,0.835,0.6375,0,1
5,1,1,4.5375,0.739,0.668,0.6375,0,1
5,1,1,3.86875,0.94,1.418,0.6375,0,1
5,2,1,1.83125,1.136,0.967,0.6375,0,0
5,2,2,6,0.787,1.8,0.6375,0,1
5,1,1,6,0.622,1.333,0.6375,0,1
5,2,1,3.48125,1.436,2.083,0.6375,0,0
5,1,1,6,0.523,1.001,0.6375,0,1
5,1,1,5.15,0.739,1.238,0.6375,0,1
5,2,1,3.5,1.286,0.451,0.6375,0,0
5,1,1,5.075,1.654,1.117,0.6375,0,1
5,2,2,4.9625,0.921,1.014,0.6375,0,1
5,1,1,5.55,1.023,1.084,0.6375,0,1
5,2,2,6,0.619,1.403,0.6375,0,1
5,1,1,4.5,1.105,0.801,0.6375,0,1
5,2,2,5.8125,0.587,1.583,0.6375,0,1
5,1,1,5.9875,0.605,1.833,0.6375,0,1
5,2,1,4.9625,1.038,1.567,0.6375,0,0
5,1,1,6,0.739,1.118,0.6375,0,1
5,2,2,5.98125,0.538,1.101,0.6375,0,1
5,1,1,4.5375,0.605,0.634,0.6375,0,1
5,1,1,3.5,1.039,0.269,0.6375,0,1
5,1,1,6,0.534,0.734,0.6375,0,1
5,2,2,5.2875,0.937,0.933,0.6375,0,1
5,2,2,6,1.02,1.318,0.6375,0,1
5,2,2,4.8,1.336,1.001,0.6375,0,1
5,1,1,6,0.606,1.383,0.6375,0,1
5,2,2,4.7625,1.202,1.018,0.6375,0,1
5,2,1,6,0.705,1.117,0.6375,0,0
5,2,1,2.55,1.587,1.151,0.6375,0,0
5,2,1,2.64375,1.503,1.068,0.6375,0,0
5,1,1,6,0.753,1.083,0.6375,0,1
5,2,1,6,0.721,0.951,0.6375,0,0
5,2,2,5.98125,0.771,1.186,0.6375,0,1
5,1,1,5.01875,0.67,1.367,0.6375,0,1
5,1,2,2.6875,1.887,1.301,0.6375,0,0
5,1,1,4.925,0.677,1.033,0.6375,0,1
5,2,1,4.80625,1.486,1.101,0.6375,0,0
5,1,1,4.46875,0.859,0.484,0.6375,0,1
5,1,1,4.6625,0.722,0.934,0.6375,0,1
5,1,1,5.45,0.806,0.917,0.6375,0,1
5,1,1,5.3875,0.988,0.785,0.6375,0,1
5,1,1,6,1.355,1.1,0.6375,0,1
5,1,1,5.96875,0.673,1.183,0.6375,0,1
5,1,1,5.01875,1.455,1.352,0.6375,0,1
5,2,1,2.35625,1.419,0.718,0.6375,0,0
5,2,2,5.03125,1.153,0.935,0.6375,0,1
5,2,1,3.6625,1.104,1.916,0.6375,0,0
5,1,1,6,0.656,1.099,0.6375,0,1
5,1,1,3.81875,1.005,2.063,0.6375,0,1
5,2,2,2.4875,1.787,1.116,0.6375,0,1
5,1,1,3.9,1.323,0.95,0.6375,0,1
5,1,1,5.9875,0.556,1.33,0.6375,0,1
5,1,1,5.96875,0.839,0.985,0.6375,0,1
5,2,1,3.76875,2,1.833,0.6375,0,0
5,1,2,4.75,0.622,0.934,0.6375,0,0
5,1,1,4.95,0.706,0.584,0.6375,0,1
5,1,1,6,0.672,0.869,0.6375,0,1
5,1,1,2.53125,1.404,0.651,0.6375,0,1
5,1,1,6,0.988,1.034,0.6375,0,1
5,2,1,6,0.758,1.184,0.6375,0,0
5,1,1,5.075,0.777,1,0.6375,0,1
5,1,1,4.75625,0.706,0.65,0.6375,0,1
5,2,2,5.5875,1.25,0.784,0.6375,0,1
5,1,1,5.50625,0.5,1.218,0.6375,0,1
5,2,1,3.7,1.729,0.784,0.6375,0,0
5,1,1,5.14375,0.489,1.183,0.6375,0,1
5,1,1,3.74375,0.823,0.418,0.6375,0,1
5,1,1,5.46875,0.423,0.885,0.6375,0,1
5,2,2,5.45,0.738,1.084,0.6375,0,1
5,1,1,5.25625,0.639,0.967,0.6375,0,1
5,1,1,5.9875,0.738,0.9,0.6375,0,1
5,2,2,5.39375,1.069,1,0.6375,0,1
5,1,1,6,0.606,1,0.6375,0,1
5,1,1,6,0.69,0.899,0.6375,0,1
5,1,1,6,0.639,1.014,0.6375,0,1
5,2,2,6,0.637,0.867,0.6375,0,1
5,2,2,3.7875,1.619,0.685,0.6375,0,1
5,2,1,2.14375,1.987,0.917,0.6375,0,0
5,1,1,2.16875,0.988,0.95,0.6375,0,1
5,1,1,3.9125,1.007,0.567,0.6375,0,1
5,1,1,4.6375,0.689,0.606,0.6375,0,1
5,2,1,4.225,0.903,0.703,0.6375,0,0
5,1,1,4.01875,0.988,0.717,0.6375,0,1
5,1,1,6,0.523,0.951,0.6375,0,1
5,1,1,4.91875,0.889,1.415,0.6375,0,1
5,2,1,3.74375,1.607,0.753,0.6375,0,0
5,1,1,5.05,1.288,0.618,0.6375,0,1
5,2,1,3.75,1.004,0.852,0.6375,0,0
5,2,1,1,1.354,1.65,0.6375,0,0
5,1,1,4.75,0.622,0.718,0.6375,0,1
5,2,2,5.2,1.37,1.049,0.6375,0,1
5,2,2,6,0.75,1.899,0.6375,0,1
5,2,2,4.89375,1.236,1.134,0.6375,0,1
5,1,1,4.975,1.304,1.267,0.6375,0,1
5,1,1,6,1.138,1.167,0.6375,0,1
5,1,2,2.4625,1.853,1.033,0.6375,0,0
5,1,1,2.11875,1.255,1.05,0.6375,0,1
5,2,1,2.2125,1.653,1.067,0.6375,0,0
5,1,1,6,0.471,0.967,0.6375,0,1
5,1,1,6,0.371,1.084,0.6375,0,1
5,2,2,6,0.737,0.851,0.6375,0,1
5,1,1,6,0.856,1.085,0.6375,0,1
5,1,1,4.93125,1.122,0.868,0.6375,0,1
5,1,1,5.01875,0.339,1.219,0.6375,0,1
5,1,1,3.7125,1.138,0.768,0.6375,0,1
5,1,1,3.99375,1.003,0.584,0.6375,0,1
5,1,1,4.875,0.638,1.018,0.6375,0,1
5,2,1,3.925,1.156,0.569,0.6375,0,0
5,2,2,4.6875,1.153,0.7,0.6375,0,1
5,2,2,4.71875,0.972,1.15,0.6375,0,1
5,1,1,4.9375,0.806,1.346,0.6375,0,1
5,2,2,3.79375,1.536,0.801,0.6375,0,1
5,2,2,4.0375,1.239,0.701,0.6375,0,1
5,2,2,4.1375,0.737,0.869,0.6375,0,1
5,1,1,2.30625,1.538,0.668,0.6375,0,1
5,2,2,4.275,0.871,0.918,0.6375,0,1
5,2,2,4.7,0.605,0.917,0.6375,0,1
5,2,2,5.04375,0.804,0.917,0.6375,0,1
5,1,1,4.75,1.055,0.818,0.6375,0,1
5,2,2,6,0.853,0.901,0.6375,0,1
5,2,2,5.24375,0.739,0.718,0.6375,0,1
5,2,2,6,0.487,1.051,0.6375,0,1
5,2,2,4.93125,1.453,1.185,0.6375,0,1
5,2,1,3.99375,1.269,1.118,0.6375,0,0
5,2,2,6,0.735,1.033,0.6375,0,1
5,2,2,6,0.72,1.168,0.6375,0,1
5,2,1,4.14375,1.02,1.05,0.6375,0,0
5,1,1,4.4125,1.122,0.62,0.6375,0,1
5,2,1,3.7125,1.402,1.534,0.6375,0,0
5,1,1,4.93125,0.471,1.213,0.6375,0,1
5,1,1,4.9625,0.573,0.917,0.6375,0,1
5,1,1,6,0.54,1.235,0.6375,0,1
5,2,1,3.975,1.004,0.568,0.6375,0,0
5,1,1,4.93125,1.021,0.901,0.6375,0,1
5,2,2,5.45625,1.187,0.851,0.6375,0,1
5,1,1,5.05,1.072,0.801,0.6375,0,1
5,2,2,6,0.686,1.084,0.6375,0,1
5,1,1,5.26875,0.839,0.901,0.6375,0,1
5,1,1,6,0.356,1.101,0.6375,0,1
5,1,1,6,0.506,1.033,0.6375,0,1
5,2,2,3.69375,1.568,0.734,0.6375,0,1
5,1,1,4.11875,1.022,0.85,0.6375,0,1
5,2,2,4.9625,0.77,0.785,0.6375,0,1
5,1,1,5.95,0.489,0.768,0.6375,0,1
5,2,2,5.29375,0.721,0.902,0.6375,0,1
5,1,1,6,0.639,1.32,0.6375,0,1
5,2,2,4.1375,1.47,1.034,0.6375,0,1
5,1,1,6,0.655,1.046,0.6375,0,1
5,2,2,4.9875,0.871,3.149,0.6375,0,1
5,2,2,5.2625,0.67,1.034,0.6375,0,1
5,2,2,5.14375,0.505,0.753,0.6375,0,1
5,1,1,3.91875,1.222,0.868,0.6375,0,1
5,1,1,5.48125,1.338,1.5,0.6375,0,1
5,2,1,4.54375,1.536,1.517,0.6375,0,0
5,2,2,5.2875,0.638,1.632,0.6375,0,1
5,1,1,5.05625,0.578,1.067,0.6375,0,1
5,1,1,6,1.103,0.967,0.6375,0,1
5,2,2,4.9125,1.319,0.834,0.6375,0,1
5,1,1,4.475,1.489,0.751,0.6375,0,1
5,2,1,1,0.72,4.103,0.6375,0,0
5,1,2,4.69375,0.772,1.317,0.6375,0,0
5,1,1,4.95,0.44,1.001,0.6375,0,1
5,1,1,4.95625,0.689,1.2,0.6375,0,1
5,1,1,4.91875,0.538,2.132,0.6375,0,1
5,1,1,5.0125,1.021,0.834,0.6375,0,1
5,2,1,4.03125,0.953,1.067,0.6375,0,0
5,1,1,4.81875,0.638,0.851,0.6375,0,1
5,1,1,5.2375,0.756,0.818,0.6375,0,1
5,1,1,6,0.789,0.751,0.6375,0,1
5,2,2,5.08125,0.787,0.718,0.6375,0,1
5,2,2,5.1375,1.686,0.882,0.6375,0,1
5,2,1,3.8,1.518,0.755,0.6375,0,0
5,2,2,6,0.835,1.362,0.6375,0,1
5,1,1,4.94375,0.922,0.751,0.6375,0,1
5,1,1,4.96875,1.106,3.256,0.6375,0,1
5,1,1,4.31875,0.922,1.035,0.6375,0,1
5,2,2,5.0875,0.687,1.284,0.6375,0,1
5,2,1,5.03125,0.837,0.918,0.6375,0,0
5,1,1,4.93125,0.587,0.799,0.6375,0,1
5,2,2,4.8875,0.97,0.701,0.6375,0,1
5,1,1,4.88125,0.705,0.601,0.6375,0,1
5,2,1,4.95625,0.717,0.585,0.6375,0,0
5,2,2,6,0.588,1,0.6375,0,1
5,1,1,6,0.438,1.4,0.6375,0,1
5,1,1,6,0.356,0.884,0.6375,0,1
5,2,2,3.84375,1.333,3.048,0.6375,0,1
5,1,1,4.85,0.846,1.084,0.6375,0,1
5,1,1,4.9875,0.722,2.196,0.6375,0,1
5,1,1,4.9875,1.171,2.416,0.6375,0,1
5,1,1,5,0.838,2.15,0.6375,0,1
5,2,2,3.95,1.536,1.085,0.6375,0,1
5,2,1,1,1.67,1.365,0.6375,0,0
