Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition,Accuracy
1,2,2,4,0.668,4.325,0.89,P,1
1,2,2,6,0.467,1.354,0.87,P,1
1,2,2,3.01,0.601,1.804,0.85,P,1
1,2,2,6,0.501,1.137,0.83,P,1
1,2,2,6,0.667,1.035,0.81,P,1
1,2,2,6,0.902,1.37,0.79,P,1
1,2,2,6,0.584,1.186,0.77,P,1
1,2,2,4.79,0.451,0.969,0.75,P,1
1,2,2,5.11,0.518,1.137,0.73,P,1
1,1,1,4.08,0.467,2.119,0.71,P,1
1,2,2,1,0.933,0.9,0.69,P,1
1,1,1,2.26,0.818,0.968,0.67,P,1
1,2,2,5.3,0.45,1.004,0.65,P,1
1,1,1,4.63,0.534,2.238,0.63,P,1
1,2,2,5.98,0.518,1.332,0.61,P,1
1,2,2,2.6,1.117,0.934,0.59,P,1
1,2,2,4.34,0.501,0.717,0.57,P,1
1,2,2,1,0.784,1.067,0.55,P,1
1,2,2,4.88,0.551,0.75,0.53,P,1
1,1,1,1.06,1.05,1.001,0.51,P,1
1,2,1,2.32,0.868,1.751,0.53,P,0
1,2,1,2.09,0.934,1.401,0.55,P,0
1,1,1,3.13,0.817,3.839,0.57,P,1
1,2,2,5.03,0.451,1.168,0.55,P,1
1,2,2,1.54,1.017,2.218,0.53,P,1
1,2,2,4.49,0.701,2.169,0.51,P,1
1,1,2,2.46,1.117,1.101,0.53,P,0
1,1,1,3.54,0.785,2.937,0.55,P,1
1,1,1,3.59,0.617,2.603,0.53,P,1
1,2,2,5.01,0.5,2.236,0.51,P,1
1,2,2,3.03,0.552,1.555,0.49,P,1
1,2,2,3.99,0.634,4.585,0.47,P,1
1,1,1,1,0.617,0.819,0.45,P,1
1,2,1,1.98,0.867,1.353,0.47,P,0
1,1,1,2.54,1.251,2.103,0.49,P,1
1,2,2,2.54,0.734,1.587,0.47,P,1
1,2,2,5.05,0.484,2.137,0.45,P,1
1,1,2,2.39,1.068,0.852,0.47,P,0
1,2,2,1.04,0.868,2.835,0.49,P,1
1,1,1,2.58,0.635,1.234,0.47,P,1
1,1,1,4.11,0.734,0.885,0.45,P,1
1,1,2,2.59,1.1,2.469,0.47,P,0
1,1,1,2.39,0.718,0.983,0.49,P,1
1,2,2,4.86,0.651,1.121,0.47,P,1
1,2,2,4.66,0.917,1.754,0.45,P,1
1,1,1,6,0.683,1.535,0.43,P,1
1,2,2,1.02,1.034,1.566,0.41,P,1
1,2,2,4.11,0.8,1.77,0.39,P,1
1,1,1,2.01,1.335,3.304,0.37,P,1
1,1,1,2.82,0.8,1.419,0.35,P,1
1,2,2,2.53,0.75,2.438,0.33,P,1
1,1,1,4.49,0.785,1.586,0.31,P,1
1,1,2,4.04,0.834,0.888,0.33,P,0
