Subj_idx,Stimulus,Response,Confidence,RT_dec,DotDiff,Accuracy
1,1,1,4,0.451,4.45,1
1,0,0,4,0.489,4.45,1
1,0,0,5,0.367,4.35,1
1,1,1,4,0.34,4.35,1
1,0,1,2,0.801,4.25,0
1,0,0,3,0.508,4.35,1
1,1,1,5,0.502,4.35,1
1,1,1,4,0.456,4.25,1
1,0,0,3,0.831,4.25,1
1,0,0,4,0.297,4.15,1
1,1,1,3,1.369,4.15,1
1,1,1,5,0.578,4.05,1
1,0,0,5,0.367,4.05,1
1,0,0,4,0.507,3.95,1
1,1,1,4,0.369,3.95,1
1,1,1,5,0.453,3.85,1
1,1,1,5,0.351,3.85,1
1,1,1,5,0.313,3.75,1
1,1,0,4,0.557,3.75,0
1,0,0,5,0.267,3.85,1
1,0,0,5,0.196,3.85,1
1,1,1,4,0.911,3.75,1
1,1,1,4,0.262,3.75,1
1,0,0,5,0.182,3.65,1
1,1,1,4,0.206,3.65,1
1,0,1,3,0.338,3.55,0
1,1,0,4,0.273,3.65,0
1,1,1,5,0.393,3.75,1
1,1,1,5,0.287,3.75,1
1,1,1,4,0.849,3.65,1
1,1,1,4,0.48,3.65,1
1,1,1,4,0.469,3.55,1
1,1,0,3,0.643,3.55,0
1,0,0,5,0.379,3.65,1
1,1,0,4,0.546,3.65,0
1,0,0,4,0.571,3.75,1
1,0,1,2,0.973,3.75,0
1,1,1,4,0.553,3.85,1
1,1,1,5,0.324,3.85,1
1,1,1,4,0.3,3.75,1
1,1,1,6,0.287,3.75,1
1,1,1,5,0.274,3.65,1
1,1,1,5,1.247,3.65,1
1,0,0,4,0.326,3.55,1
1,0,0,4,0.274,3.55,1
1,1,0,3,0.308,3.45,0
1,0,0,5,0.302,3.55,1
1,0,0,5,0.277,3.55,1
1,1,1,4,0.33,3.45,1
1,1,1,4,0.439,3.45,1
1,0,0,5,0.6,3.35,1
1,0,0,4,0.221,3.35,1
1,1,0,2,0.258,3.25,0
1,1,1,4,0.295,3.35,1
1,0,0,4,0.196,3.35,1
1,0,0,4,0.353,3.25,1
1,1,0,4,0.21,3.25,0
1,1,1,4,0.342,3.35,1
1,1,1,3,0.3,3.35,1
1,1,1,4,0.303,3.25,1
1,1,1,4,0.538,3.25,1
1,0,1,4,0.404,3.15,0
1,0,0,3,0.481,3.25,1
1,1,1,4,0.303,3.25,1
1,1,1,5,0.241,3.15,1
1,0,1,4,0.4,3.15,0
1,1,1,5,0.237,3.25,1
1,0,0,5,0.37,3.25,1
1,1,1,3,0.485,3.15,1
1,1,1,4,0.423,3.15,1
1,1,0,4,0.239,3.05,0
1,1,1,5,0.253,3.15,1
1,1,1,4,0.461,3.15,1
1,1,1,3,0.169,3.05,1
