Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,DotDiff,Accuracy
1,1,0,0.5,2.161,5575,60,0
1,1,0,0.5,4.817,2780,60,0
1,0,0,0.79,1.687,3385,60,1
1,0,0,0.8,1.428,2679,60,1
1,1,0,0.63,1.949,2173,60,0
1,1,0,NaN,1.378,NaN,24,0
1,0,0,0.62,1.407,2841,60,1
1,0,0,NaN,1.291,NaN,24,1
1,0,0,0.6,1.722,2293,60,1
1,0,0,NaN,1.628,NaN,24,1
1,1,0,NaN,1.592,NaN,24,0
1,1,0,NaN,1.59,NaN,24,0
1,1,1,0.66,1.887,2778,60,1
1,1,0,NaN,1.277,NaN,24,0
1,0,1,NaN,2.295,NaN,24,0
1,0,0,NaN,1.435,NaN,24,1
1,0,0,NaN,1.145,NaN,24,1
1,1,1,NaN,0.931,NaN,60,1
1,1,0,NaN,0.809,NaN,24,0
1,0,0,NaN,0.786,NaN,60,1
1,1,1,NaN,1.253,NaN,60,1
1,0,0,NaN,0.89,NaN,24,1
1,0,0,NaN,0.805,NaN,60,1
1,0,0,NaN,0.738,NaN,60,1
1,1,1,NaN,1.662,NaN,24,1
1,1,0,NaN,0.884,NaN,24,0
1,0,1,NaN,1.197,NaN,24,0
1,1,0,NaN,0.839,NaN,60,0
1,0,0,NaN,0.785,NaN,24,1
1,1,1,0.61,0.996,2563,60,1
1,0,0,NaN,0.757,NaN,24,1
1,1,1,0.59,1.109,2153,60,1
1,0,0,0.79,0.945,2557,60,1
1,1,1,NaN,1.295,NaN,24,1
1,1,0,NaN,1.793,NaN,24,0
1,0,0,0.7,0.794,1988,60,1
1,0,0,0.71,0.844,2356,60,1
1,0,0,NaN,0.85,NaN,60,1
1,1,1,NaN,0.881,NaN,60,1
1,1,1,0.51,1.284,2216,60,1
1,1,1,0.51,2.211,2116,60,1
1,1,0,NaN,0.829,NaN,24,0
1,0,0,NaN,0.861,NaN,24,1
1,1,0,NaN,1.279,NaN,24,0
1,1,1,0.57,0.956,1982,60,1
1,1,0,0.66,0.832,1915,60,0
1,1,1,0.52,1.425,2105,60,1
1,1,1,NaN,1.144,NaN,24,1
1,1,0,NaN,0.889,NaN,24,0
1,0,0,0.75,0.836,1741,60,1
1,0,0,0.62,0.865,2192,60,1
1,0,1,0.52,1.156,1849,60,0
1,0,1,NaN,1.253,NaN,24,0
1,0,0,0.69,0.776,1852,60,1
1,0,0,NaN,1.709,NaN,24,1
1,1,0,NaN,0.786,NaN,24,0
1,0,1,NaN,1.497,NaN,24,0
1,1,1,0.51,1.497,1997,60,1
1,0,0,0.59,0.736,2797,60,1
1,0,0,NaN,0.885,NaN,24,1
1,0,0,NaN,1.159,NaN,60,1
1,1,1,NaN,0.965,NaN,60,1
1,1,1,NaN,0.983,NaN,60,1
1,0,0,0.53,1.122,1882,60,1
1,0,0,NaN,0.783,NaN,60,1
1,0,0,NaN,0.742,NaN,60,1
1,1,1,0.75,0.829,1305,60,1
1,0,0,NaN,0.706,NaN,60,1
1,1,1,NaN,0.787,NaN,60,1
1,0,0,0.81,0.885,1934,60,1
1,0,0,0.8,0.866,1970,60,1
1,1,0,0.58,1.557,2095,60,0
1,1,1,0.69,0.946,2005,60,1
1,0,0,NaN,0.874,NaN,60,1
1,1,0,NaN,0.752,NaN,60,0
1,1,1,0.59,0.867,1954,60,1
1,0,0,0.91,0.812,1919,60,1
1,0,0,0.91,0.707,1759,60,1
1,1,0,0.85,1.037,2235,60,0
1,1,1,NaN,1.245,NaN,60,1
1,0,0,NaN,1.424,NaN,60,1
1,1,0,NaN,0.942,NaN,24,0
1,0,0,NaN,1.749,NaN,24,1
1,1,1,NaN,0.929,NaN,60,1
1,1,1,0.68,0.922,2012,60,1
1,1,1,0.58,1.195,2044,60,1
1,0,0,0.75,0.893,1304,60,1
1,1,0,NaN,1.072,NaN,60,0
1,0,0,NaN,0.878,NaN,60,1
1,0,0,NaN,1.019,NaN,60,1
1,1,1,NaN,2.136,NaN,60,1
1,0,0,0.81,0.732,2139,60,1
1,1,0,0.54,0.995,1949,24,0
1,1,1,0.62,0.856,2310,60,1
1,0,0,0.75,0.71,1577,24,1
1,0,0,0.85,0.626,1795,60,1
1,1,1,0.58,1.01,2025,60,1
1,1,1,0.89,0.708,1595,60,1
1,1,0,0.81,0.869,1774,24,0
1,1,0,0.8,0.688,1621,24,0
1,0,0,0.81,0.725,1662,60,1
1,0,1,0.8,0.754,1573,24,0
1,0,0,0.75,0.735,1400,24,1
1,0,0,0.89,0.685,1478,60,1
1,1,0,NaN,0.897,NaN,24,0
1,1,1,0.63,0.885,2023,60,1
1,0,0,NaN,0.687,NaN,24,1
1,0,0,0.75,0.684,2897,60,1
1,1,0,0.75,0.76,1397,24,0
1,1,0,NaN,0.662,NaN,24,0
1,0,0,NaN,0.652,NaN,24,1
1,0,0,0.69,0.662,2145,24,1
1,0,0,0.58,0.693,1667,24,1
1,1,0,0.68,0.921,1596,24,0
1,0,0,NaN,0.805,NaN,24,1
1,0,1,NaN,0.834,NaN,24,0
1,1,0,0.75,0.683,2040,24,0
1,1,1,NaN,0.815,NaN,24,1
1,0,0,0.64,0.701,1847,24,1
1,0,0,NaN,0.685,NaN,24,1
1,0,0,0.59,0.778,2528,24,1
1,1,0,NaN,0.654,NaN,24,0
1,1,1,0.75,0.832,2139,24,1
1,0,1,0.52,1.69,3073,24,0
1,1,1,NaN,2.206,NaN,24,1
1,0,0,NaN,0.717,NaN,24,1
1,1,1,NaN,0.777,NaN,24,1
1,1,1,0.51,1.535,2102,24,1
1,0,1,0.52,0.971,2130,24,0
1,0,0,0.52,0.816,1726,24,1
1,0,0,0.58,0.806,2066,60,1
1,0,0,0.8,0.682,1549,60,1
1,0,0,0.75,0.657,1301,24,1
1,1,0,0.59,0.702,2616,60,0
1,0,0,0.79,0.595,1447,60,1
1,1,1,0.61,0.92,1905,60,1
1,1,0,0.6,0.865,1569,60,0
1,1,1,0.52,1.639,2042,24,1
1,0,0,0.54,0.814,3042,24,1
1,1,1,0.8,0.753,1431,60,1
1,1,0,0.79,0.695,2108,24,0
1,1,1,0.79,0.787,1237,24,1
1,1,0,0.51,1.122,2044,24,0
1,0,1,0.81,0.597,1240,60,0
1,1,1,NaN,0.821,NaN,60,1
1,0,1,NaN,0.898,NaN,60,0
1,0,0,0.64,0.711,2730,60,1
1,0,1,NaN,0.706,NaN,60,0
1,0,0,NaN,0.675,NaN,60,1
1,1,1,NaN,0.674,NaN,60,1
1,1,1,0.75,0.645,1369,60,1
1,0,0,0.7,1.195,2492,60,1
1,0,0,0.75,0.914,1145,60,1
1,1,1,0.84,1.126,1551,60,1
1,1,1,0.57,0.977,1588,60,1
1,1,1,NaN,0.768,NaN,60,1
1,1,0,NaN,0.722,NaN,60,0
1,0,0,0.75,0.705,1144,60,1
1,1,1,0.51,0.814,2372,60,1
1,0,0,NaN,0.792,NaN,60,1
1,1,0,0.53,0.781,2160,24,0
1,0,0,NaN,0.674,NaN,24,1
1,0,0,0.75,0.618,3729,24,1
1,0,0,0.75,0.657,1367,24,1
1,1,1,0.63,0.844,2166,24,1
1,1,0,NaN,0.858,NaN,24,0
1,0,0,NaN,0.785,NaN,24,1
1,1,1,0.75,0.668,1356,24,1
1,0,0,0.64,0.684,2777,24,1
1,1,1,NaN,0.753,NaN,24,1
1,1,1,NaN,0.682,NaN,24,1
1,1,1,NaN,1.38,NaN,24,1
1,0,1,0.52,1.456,1933,24,0
1,1,1,0.59,0.689,2446,24,1
1,0,0,NaN,0.63,NaN,24,1
1,0,0,NaN,0.696,NaN,24,1
1,0,0,NaN,0.696,NaN,60,1
1,0,0,0.75,0.608,1393,60,1
1,1,1,NaN,0.6,NaN,60,1
1,0,0,0.75,0.628,1433,60,1
1,1,0,NaN,0.776,NaN,60,0
1,1,1,NaN,0.774,NaN,60,1
1,1,1,0.56,0.754,2037,60,1
1,1,1,0.6,0.688,2241,60,1
1,0,0,NaN,0.698,NaN,60,1
1,0,0,NaN,0.596,NaN,60,1
1,1,1,0.59,0.734,1913,60,1
1,0,0,0.56,0.884,1986,60,1
1,0,0,NaN,0.77,NaN,60,1
1,0,0,0.7,0.565,2892,24,1
1,1,0,0.85,0.642,2209,24,0
1,1,1,0.5,2.055,1774,24,1
1,1,1,NaN,0.767,NaN,60,1
1,0,0,0.61,0.819,1908,24,1
1,1,1,NaN,0.654,NaN,60,1
1,0,0,NaN,0.62,NaN,60,1
1,0,0,0.52,6.146,3840,24,1
1,0,0,NaN,1.015,NaN,60,1
1,0,1,0.51,1.163,2479,24,0
1,1,1,NaN,0.812,NaN,60,1
1,1,0,NaN,0.9,NaN,60,0
1,0,0,0.52,1.432,2385,24,1
1,1,0,0.59,1.384,2366,24,0
1,1,1,NaN,1.308,NaN,60,1
1,1,0,NaN,1.228,NaN,60,0
1,1,1,0.51,1.741,2496,24,1
1,0,1,0.6,1.708,1843,24,0
1,0,1,NaN,1.251,NaN,60,0
1,1,0,NaN,1.394,NaN,60,0
1,0,0,0.79,1.51,1552,24,1
1,0,0,NaN,1.268,NaN,60,1
1,1,0,0.58,2.476,1833,24,0
1,1,1,0.78,1.184,1226,24,1
1,0,0,NaN,1.161,NaN,60,1
1,1,1,0.6,1.259,1719,24,1
1,0,0,NaN,1.272,NaN,60,1
1,1,1,0.61,0.755,2199,24,1
1,1,0,NaN,0.667,NaN,60,0
1,0,0,NaN,1.157,NaN,60,1
1,0,0,0.75,1.085,907,24,1
