Subj_idx,Stimulus,Response,Confidence,RT_dec,Error,Condition,Delay
1,23,107.2109375,2,3.78287402500018,-84.2109375,1,3.45
1,151,309.640625,2,2.73979786000018,21.359375,0.5,3.45
1,4,353.015625,1,2.39627068100003,10.984375,0.5,12
1,153,322.5859375,2,2.43058578900013,10.4140625,0.5,3.45
1,115,299.609375,3,3.18596661100014,-4.60937500000003,0.5,9.15
1,86,63.8359375,3,5.41730216499991,22.1640625,0.5,12
1,107,300,3,2.6548814790001,-13,0.5,9.15
1,90,92.46875,3,3.70694035400015,-2.46875,0.5,3.45
1,118,121.9375,3,3.69841916300015,-3.9375,1,3.45
1,90,78.9140625,4,2.90940585900012,11.0859375,1,9.15
1,167,313.921875,4,5.14578549800012,33.078125,1,6.3
1,39,122.6796875,1,2.32929454000009,-83.6796875,0.5,9.15
1,12,328.546875,1,2.22695066300003,43.453125,0.5,6.3
1,56,57.2265625,3,2.50892987100019,-1.22656249999999,1,9.15
1,92,286.5859375,4,3.05310263000001,-14.5859375,1,12
1,32,82.6015625,3,2.77161834500021,-50.6015625,1,6.3
1,109,299.5078125,3,3.3577100360003,-10.5078125,1,12
1,26,45.3125,3,2.12490429699983,-19.3125,1,6.3
1,99,277.390625,4,2.26798870499988,1.60937500000001,1,6.3
1,97,101.0625,4,2.18998652000028,-4.0625,1,0.6
1,81,86.1875,4,2.69803203499987,-5.18750000000001,0.5,6.3
1,35,45.90625,2,1.90230084700033,-10.90625,1,12
1,163,92.15625,1,3.3120551840002,70.84375,1,6.3
1,59,59.5390625,3,2.67496673000005,-0.539062500000002,1,3.45
1,24,25.40625,3,3.35652477200028,-1.40625,0.5,0.6
1,176,185.296875,1,3.50789865700017,-9.29687500000002,0.5,0.6
1,1,42.0234375,1,1.58070506099966,-41.0234375,1,0.6
1,179,347.2265625,3,3.71014609099984,11.7734375,0.5,12
1,146,330.6328125,3,2.32223784400003,-4.63281250000005,1,9.15
1,166,318,3,4.28353966600025,28.0000000000001,1,9.15
1,67,232.9296875,3,2.3540248700001,14.0703125,0.5,3.45
1,88,73.59375,3,2.31981785200014,14.40625,0.5,6.3
1,106,297.5703125,3,2.18345053400026,-11.5703125,1,9.15
1,65,246.25,4,2.88675787400007,-1.24999999999999,0.5,6.3
1,126,314.0390625,3,3.61154108700021,-8.03906249999999,0.5,6.3
1,128,303.125,4,1.70270570599996,4.87500000000001,1,0.6
1,78,67.625,3,2.23782175400038,10.375,1,12
1,73,70,4,2.28684537400022,3,0.5,6.3
1,65,227.671875,3,2.12046879500031,17.328125,0.5,3.45
1,39,50.3984375,3,2.25440215000026,-11.3984375,0.5,12
1,142,139.296875,4,2.63847089399997,2.703125,1,0.6
1,107,119.7265625,3,3.07584448600028,-12.7265625,0.5,12
1,138,125.078125,2,2.2413829330003,12.921875,1,9.15
1,45,273.390625,2,1.53035036700021,-48.390625,1,0.6
1,47,51.1953125,2,2.68092515600028,-4.1953125,1,9.15
1,58,53.5234375,3,3.28645930700031,4.4765625,1,12
1,167,142.6328125,3,2.07182409400002,24.3671875,0.5,9.15
1,26,219.140625,3,1.73584086399978,-13.140625,1,3.45
