Subj_idx,Stimulus,Response,Confidence,RT_decConf,Contrast,TMSsite
1,1,2,2,1.9339,0.07,3
1,1,1,3,1.9139,0.07,3
1,2,2,2,3.4599,0.07,3
1,1,1,3,2.2393,0.07,3
1,1,1,1,3.0993,0.07,3
1,1,1,4,1.9095,0.07,3
1,1,1,4,1.7432,0.07,3
1,2,2,3,3.2324,0.07,3
1,2,1,3,2.9172,0.07,3
1,2,2,3,2.5506,0.07,3
1,2,2,4,2.2635,0.07,3
1,2,2,4,1.9392,0.07,3
1,2,2,4,2.2206,0.07,3
1,1,1,2,1.9128,0.07,3
1,2,1,1,2.4687,0.07,3
1,1,2,1,3.399,0.07,3
1,2,2,4,2.1642,0.07,3
1,2,2,4,2.4851,0.07,3
1,2,2,4,2.4074,0.07,3
1,2,2,4,2.4295,0.07,3
1,1,1,3,1.9078,0.07,3
1,1,1,3,2.3334,0.07,3
1,1,2,2,3.287,0.07,3
1,1,1,1,2.7295,0.07,3
1,1,1,3,2.1453,0.07,3
1,1,1,3,2.6265,0.07,3
1,2,2,3,2.5589,0.07,3
1,1,1,2,2.4634,0.07,3
1,2,2,3,3.6192,0.07,3
1,1,1,2,1.9914,0.07,3
1,2,2,1,2.3189,0.07,3
1,2,2,1,2.8709,0.07,3
1,1,2,1,2.427,0.07,3
1,2,2,2,1.9686,0.07,3
1,2,1,1,2.4875,0.07,3
1,2,2,3,1.722,0.07,3
1,1,1,1,2.5079,0.07,3
1,1,2,1,2.8299,0.07,3
1,1,2,1,2.1794,0.07,3
1,2,2,4,1.4254,0.07,3
1,1,1,1,15.633,0.07,2
1,1,1,1,5.8493,0.07,2
1,1,1,1,2.1942,0.07,2
1,1,1,3,1.729,0.07,2
1,1,1,3,1.7146,0.07,2
1,2,2,4,1.5739,0.07,2
1,1,1,3,2.7027,0.07,2
1,1,2,3,3.1448,0.07,2
1,1,2,1,3.9356,0.07,2
1,1,1,1,2.1839,0.07,2
1,2,2,3,2.7746,0.07,2
1,2,2,4,2.3646,0.07,2
1,1,1,4,1.8455,0.07,2
1,1,1,2,2.627,0.07,2
1,2,2,3,2.7192,0.07,2
1,2,2,4,3.4807,0.07,2
1,2,2,1,3.427,0.07,2
1,2,2,4,2.2707,0.07,2
1,1,1,1,3.4667,0.07,2
1,2,2,3,2.9012,0.07,2
1,2,1,1,2.2155,0.07,2
1,2,2,3,2.1011,0.07,2
1,2,2,1,2.1989,0.07,2
1,1,1,3,1.7507,0.07,2
1,2,1,1,1.7517,0.07,2
1,2,2,1,2.7438,0.07,2
1,2,2,2,1.696,0.07,2
1,1,1,2,3.4284,0.07,2
1,2,2,2,2.4315,0.07,2
1,1,2,2,2.4845,0.07,2
1,1,1,2,2.488,0.07,2
1,2,2,2,3.5299,0.07,2
1,1,2,1,3.202,0.07,2
1,2,2,1,2.2953,0.07,2
1,1,2,2,3.2502,0.07,2
1,1,1,1,2.3581,0.07,2
1,1,1,1,3.198,0.07,2
1,2,2,2,2.068,0.07,2
1,2,2,4,2.056,0.07,2
1,2,2,4,1.6284,0.07,2
1,2,2,1,1.9267,0.07,1
1,1,1,3,1.8113,0.07,1
1,2,2,4,1.4896,0.07,1
1,1,2,3,1.5495,0.07,1
1,2,2,2,1.7352,0.07,1
1,1,1,4,1.0332,0.07,1
1,2,2,3,1.2876,0.07,1
1,1,1,2,1.8348,0.07,1
1,1,1,3,1.4319,0.07,1
1,2,1,2,1.4148,0.07,1
1,2,2,3,1.0457,0.07,1
1,1,1,4,1.0914,0.07,1
1,2,2,3,1.759,0.07,1
1,1,2,1,2.097,0.07,1
1,1,1,3,1.4431,0.07,1
1,2,2,4,1.0893,0.07,1
1,1,1,4,1.1167,0.07,1
1,2,1,2,1.6717,0.07,1
1,2,2,2,1.6117,0.07,1
1,1,1,2,1.1385,0.07,1
1,2,2,2,1.4852,0.07,1
1,2,2,2,1.3679,0.07,1
1,1,1,2,1.3683,0.07,1
1,2,2,2,2.2961,0.07,1
1,2,2,2,1.4595,0.07,1
1,2,2,4,1.8403,0.07,1
1,2,2,4,2.7342,0.07,1
1,2,2,3,1.4784,0.07,1
1,2,2,3,1.6655,0.07,1
1,1,1,2,1.3034,0.07,1
1,1,1,2,1.4665,0.07,1
1,1,1,4,1.5912,0.07,1
1,2,1,1,1.9674,0.07,1
1,1,1,2,1.2878,0.07,1
1,1,1,1,2.0593,0.07,1
1,1,1,2,1.9511,0.07,1
1,1,1,2,1.4158,0.07,1
1,1,1,3,1.7183,0.07,1
1,1,1,3,1.929,0.07,1
1,2,2,4,1.4593,0.07,1
1,2,2,1,2.7109,0.07,1
1,2,2,2,4.3708,0.07,1
1,1,2,2,1.8491,0.07,1
1,1,1,1,2.2786,0.07,1
1,1,1,2,1.6019,0.07,1
1,1,1,2,2.0402,0.07,1
1,2,2,3,1.773,0.07,1
1,2,2,3,1.7085,0.07,1
1,1,1,4,1.2799,0.07,1
1,1,2,1,1.6841,0.07,1
1,2,1,1,2.3593,0.07,1
1,2,2,1,2.0638,0.07,1
1,1,1,2,1.4752,0.07,1
1,1,1,1,2.0162,0.07,1
1,1,1,2,2.1826,0.07,1
1,2,2,4,1.8615,0.07,1
1,1,1,3,1.7302,0.07,1
1,2,2,4,1.6362,0.07,1
1,1,1,3,1.9777,0.07,1
1,2,2,2,2.0163,0.07,1
1,1,1,4,1.2228,0.07,1
1,1,1,2,1.614,0.07,1
1,2,2,4,1.3636,0.07,1
1,2,2,4,1.1895,0.07,1
1,2,1,2,2.3175,0.07,1
1,2,2,4,1.3028,0.07,1
1,2,2,2,1.9146,0.07,1
1,2,2,1,2.1645,0.07,1
1,1,1,1,1.493,0.07,1
1,2,2,3,1.489,0.07,1
1,1,1,4,1.2449,0.07,1
1,1,1,4,1.0255,0.07,1
1,1,1,4,0.92853,0.07,1
1,2,2,3,1.1722,0.07,1
1,1,1,2,1.6765,0.07,1
1,1,1,4,1.281,0.07,1
1,2,2,3,1.8605,0.07,1
1,1,1,4,1.2968,0.07,1
1,2,2,2,1.0455,0.07,1
1,2,2,2,1.1549,0.07,1
1,1,1,3,1.7758,0.07,2
1,2,2,1,4.0027,0.07,2
1,2,2,2,2.3112,0.07,2
1,2,2,4,2.1455,0.07,2
1,1,2,1,3.4745,0.07,2
1,2,2,1,2.9565,0.07,2
1,1,1,1,2.6517,0.07,2
1,2,2,1,3.1756,0.07,2
1,2,2,3,2.2544,0.07,2
1,1,1,1,2.4742,0.07,2
1,2,2,2,1.71,0.07,2
1,1,1,2,2.8159,0.07,2
1,2,2,2,1.99,0.07,2
1,1,1,3,2.1728,0.07,2
1,1,1,4,1.8525,0.07,2
1,2,2,3,1.6566,0.07,2
1,2,2,4,1.7739,0.07,2
1,1,1,4,1.8849,0.07,2
1,2,2,4,2.3448,0.07,2
1,2,2,1,1.7925,0.07,2
1,2,1,1,2.8002,0.07,2
1,1,2,1,2.0229,0.07,2
1,2,2,1,2.1893,0.07,2
1,1,2,1,1.7054,0.07,2
1,1,1,3,2.2056,0.07,2
1,1,1,3,1.7242,0.07,2
1,1,1,4,1.9341,0.07,2
1,1,1,4,1.6395,0.07,2
1,1,1,4,2.1087,0.07,2
1,2,2,4,1.2473,0.07,2
1,1,1,1,1.5886,0.07,2
1,2,2,4,1.2126,0.07,2
1,2,1,1,1.7164,0.07,2
1,1,2,1,1.7658,0.07,2
1,1,1,4,1.0636,0.07,2
1,2,2,3,1.6192,0.07,2
1,1,1,3,1.435,0.07,2
1,2,2,1,2.4557,0.07,2
1,1,2,1,1.5315,0.07,2
1,2,2,2,1.4462,0.07,2
1,2,2,1,2.9311,0.07,3
1,2,2,4,1.9424,0.07,3
1,1,1,3,1.7123,0.07,3
1,1,2,3,1.4421,0.07,3
1,2,2,3,1.7121,0.07,3
1,2,2,3,1.5229,0.07,3
1,2,2,4,3.2609,0.07,3
1,2,2,4,1.872,0.07,3
1,1,1,4,1.9646,0.07,3
1,1,1,2,1.9412,0.07,3
1,2,2,3,1.7252,0.07,3
1,1,1,1,1.903,0.07,3
1,2,2,3,2.0577,0.07,3
1,1,1,1,2.7018,0.07,3
1,2,2,4,2.4076,0.07,3
1,1,2,2,1.7899,0.07,3
1,1,1,4,2.2365,0.07,3
1,1,2,3,1.8338,0.07,3
1,1,1,4,2.2468,0.07,3
1,2,1,1,2.9003,0.07,3
1,1,1,4,2.2462,0.07,3
1,2,2,4,1.8436,0.07,3
1,1,1,4,1.7447,0.07,3
1,1,1,2,1.8098,0.07,3
1,1,2,1,1.6962,0.07,3
1,2,2,4,1.4587,0.07,3
1,2,2,3,1.568,0.07,3
1,2,1,1,2.3119,0.07,3
1,2,2,2,2.4178,0.07,3
1,2,2,1,1.7999,0.07,3
1,1,2,2,2.6157,0.07,3
1,2,2,3,2.6284,0.07,3
1,1,1,1,3.7947,0.07,3
1,1,1,4,1.9354,0.07,3
1,1,1,2,1.9606,0.07,3
1,1,1,3,2.032,0.07,3
1,1,1,2,1.8786,0.07,3
1,2,1,4,1.6816,0.07,3
1,2,2,4,1.5257,0.07,3
1,2,2,4,1.2004,0.07,3
1,1,1,2,1.9558,0.07,1
1,1,1,4,1.2292,0.07,1
1,1,1,2,1.6208,0.07,1
1,2,2,4,1.036,0.07,1
1,2,1,3,1.4018,0.07,1
1,1,1,4,1.48,0.07,1
1,2,2,4,1.0771,0.07,1
1,2,2,3,0.97778,0.07,1
1,1,1,3,1.5066,0.07,1
1,2,2,1,1.8856,0.07,1
1,1,1,3,1.4483,0.07,1
1,1,2,2,1.9259,0.07,1
1,1,1,2,1.1193,0.07,1
1,1,1,3,2.1865,0.07,1
1,2,2,4,1.6737,0.07,1
1,2,1,3,1.7085,0.07,1
1,1,1,3,3.2644,0.07,1
1,1,1,1,1.3313,0.07,1
1,1,1,1,1.9572,0.07,1
1,1,1,1,1.2776,0.07,1
1,2,2,2,2.0505,0.07,1
1,2,2,3,1.2873,0.07,1
1,2,2,4,1.2433,0.07,1
1,2,2,3,1.8248,0.07,1
1,2,2,4,0.94264,0.07,1
1,2,2,3,1.1049,0.07,1
1,1,1,3,1.2603,0.07,1
1,1,1,4,1.2823,0.07,1
1,2,1,3,1.6061,0.07,1
1,2,2,4,4.6047,0.07,1
1,1,1,3,1.7046,0.07,1
1,1,1,2,1.6742,0.07,1
1,1,1,2,1.5509,0.07,1
1,2,1,2,1.3517,0.07,1
1,2,2,3,1.8645,0.07,1
1,1,1,4,1.5091,0.07,1
1,1,1,4,1.1846,0.07,1
1,2,2,3,1.2074,0.07,1
1,2,2,3,1.2162,0.07,1
1,2,2,3,1.1588,0.07,1
1,2,2,2,2.3984,0.07,3
1,1,2,1,2.6002,0.07,3
1,2,2,2,2.1497,0.07,3
1,2,2,4,1.9273,0.07,3
1,2,2,4,1.5852,0.07,3
1,1,1,4,1.5282,0.07,3
1,2,2,2,1.6022,0.07,3
1,2,2,4,1.353,0.07,3
1,2,2,4,1.3376,0.07,3
1,2,2,4,1.3074,0.07,3
1,1,1,2,1.2633,0.07,3
1,1,1,2,0.99625,0.07,3
1,1,1,2,1.5089,0.07,3
1,1,1,1,1.2155,0.07,3
1,2,2,1,1.3507,0.07,3
1,1,1,1,1.4475,0.07,3
1,1,2,1,1.2369,0.07,3
1,2,1,2,1.6278,0.07,3
1,2,2,3,1.2649,0.07,3
1,1,1,4,1.3153,0.07,3
1,2,2,1,1.1925,0.07,3
1,2,2,4,1.2794,0.07,3
1,1,1,4,1.1728,0.07,3
1,2,2,4,1.1823,0.07,3
1,2,2,4,1.2217,0.07,3
1,2,1,2,1.2605,0.07,3
1,1,1,2,1.4101,0.07,3
1,1,1,2,1.2168,0.07,3
1,2,2,3,1.3038,0.07,3
1,1,1,2,1.1155,0.07,3
1,1,2,1,1.7184,0.07,3
1,2,2,3,1.3682,0.07,3
1,1,1,3,1.1922,0.07,3
1,1,1,3,1.1683,0.07,3
1,1,2,2,1.2088,0.07,3
1,1,1,2,1.1678,0.07,3
1,2,2,1,1.272,0.07,3
1,1,1,1,1.229,0.07,3
1,1,1,3,1.1883,0.07,3
1,2,1,2,1.4199,0.07,3
1,2,2,2,2.5329,0.07,2
1,2,2,1,1.3836,0.07,2
1,1,1,3,1.3678,0.07,2
1,1,1,2,1.7523,0.07,2
1,1,1,4,1.3531,0.07,2
1,2,2,4,1.2736,0.07,2
1,1,1,4,1.1666,0.07,2
1,2,2,4,1.2074,0.07,2
1,2,2,4,1.1827,0.07,2
1,2,2,2,1.3038,0.07,2
1,1,1,4,3.0505,0.07,2
1,2,2,3,1.446,0.07,2
1,1,2,2,1.1723,0.07,2
1,2,2,2,1.1168,0.07,2
1,1,1,1,1.2877,0.07,2
1,1,1,2,1.2591,0.07,2
1,1,1,1,1.3448,0.07,2
1,2,2,4,2.5147,0.07,2
1,1,1,4,1.1079,0.07,2
1,2,2,4,1.3921,0.07,2
1,2,2,4,1.3914,0.07,2
1,2,2,4,1.2953,0.07,2
1,2,2,4,1.1715,0.07,2
1,1,2,1,1.1801,0.07,2
1,2,2,3,1.3475,0.07,2
1,2,1,3,1.1581,0.07,2
1,1,1,2,1.1666,0.07,2
1,2,2,3,1.1435,0.07,2
1,2,2,2,1.2659,0.07,2
1,1,1,3,1.1434,0.07,2
1,1,2,2,1.1368,0.07,2
1,1,1,2,1.1473,0.07,2
1,1,1,4,1.3648,0.07,2
