Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition,Accuracy,Session,Visual_search_accuracy
1,1,1,2,6.468049,3.22897,0.495868,3,1,1,0
1,1,1,1,2.269453,1.909409,0.495868,3,1,1,0
1,1,1,2,1.29978,1.559543,0.495868,3,1,1,1
1,1,1,2,0.679962,1.159671,0.495868,3,1,1,1
1,0,1,1,0.520016,1.329629,0.495868,3,0,1,1
1,0,0,4,0.749943,1.72949,0.545455,3,1,1,0
1,0,0,2,1.499719,1.429696,0.545455,3,1,1,1
1,1,1,1,1.459735,1.48957,0.495868,3,1,1,1
1,1,1,1,1.159842,1.719479,0.495868,3,1,1,1
1,1,1,2,0.689955,0.95973,0.495868,3,1,1,1
1,1,1,1,0.400082,1.279631,0.495868,3,1,1,1
1,0,0,4,0.550031,1.029703,0.495868,3,1,1,1
1,0,0,2,0.630005,0.989724,0.495868,3,1,1,0
1,0,0,2,0.42009,0.789806,0.450789,3,1,1,1
1,1,1,2,1.169805,1.299752,0.450789,3,1,1,1
1,1,1,2,0.490058,3.338939,0.450789,3,1,1,0
1,1,0,2,1.399758,0.96973,0.450789,3,0,1,0
1,1,1,2,1.249746,1.81944,0.450789,3,1,1,1
1,1,0,2,0.55005,1.02972,0.450789,3,0,1,1
1,1,1,2,0.450037,1.029705,0.450789,3,1,1,1
1,0,0,2,0.480061,0.739814,0.450789,3,1,1,0
1,1,0,2,0.96989,0.799793,0.409808,3,0,1,0
1,1,0,2,0.45004,0.869768,0.409808,3,0,1,0
1,1,0,2,0.719956,2.319288,0.409808,3,0,1,1
1,1,0,2,0.430073,1.979393,0.409808,3,0,1,1
1,0,0,1,0.610013,1.789459,0.409808,3,1,1,1
1,0,0,2,0.98989,1.039702,0.409808,3,1,1,0
1,0,0,2,0.590014,1.229644,0.372553,3,1,1,1
1,1,1,2,1.829599,1.139685,0.372553,3,1,1,1
1,1,0,2,0.400076,2.209323,0.372553,3,0,1,1
1,1,0,2,0.480118,0.639859,0.372553,3,0,1,1
1,1,1,2,0.560033,3.948724,0.372553,3,1,1,1
1,1,0,2,0.650019,0.769792,0.372553,3,0,1,1
1,1,0,2,0.390068,0.76981,0.372553,3,0,1,0
1,1,1,2,1.249761,0.909763,0.372553,3,1,1,0
1,1,0,2,0.440087,1.189668,0.372553,3,0,1,1
1,1,1,2,1.129854,0.759816,0.372553,3,1,1,0
1,1,1,2,2.0895,0.92976,0.372553,3,1,1,0
1,1,1,2,0.590016,1.31963,0.372553,3,1,1,1
1,0,0,2,0.610014,0.749804,0.372553,3,1,1,0
1,1,0,2,0.979922,1.009707,0.338684,3,0,1,1
1,1,0,2,0.550026,1.039722,0.338684,3,0,1,0
1,1,1,2,1.809618,0.939746,0.338684,3,1,1,1
1,1,0,2,0.619975,0.919771,0.338684,3,0,1,0
1,0,0,4,0.669998,0.989726,0.338684,3,1,1,1
1,1,1,2,1.059824,1.429565,0.338684,3,1,1,1
1,1,1,1,1.419725,1.37959,0.338684,3,1,1,1
1,1,1,1,1.679647,1.249656,0.338684,3,1,1,1
1,0,1,2,1.409735,2.039373,0.338684,4,0,1,1
1,0,0,2,1.439705,1.179673,0.372553,4,1,1,1
1,0,0,2,0.580033,1.839453,0.372553,4,1,1,0
1,1,1,2,0.879926,3.618833,0.338684,4,1,1,1
1,1,1,1,1.29979,1.389601,0.338684,4,1,1,1
1,1,1,2,1.249773,0.919744,0.338684,4,1,1,1
1,0,1,1,3.399039,2.019388,0.338684,4,0,1,0
1,0,1,2,1.969538,1.21966,0.372553,4,0,1,0
1,0,0,2,0.829944,0.749815,0.409808,4,1,1,1
1,1,0,1,0.949909,4.54853,0.409808,4,0,1,1
1,0,1,1,3.549035,2.419239,0.409808,4,0,1,1
1,0,1,1,1.589685,1.609525,0.450789,4,0,1,1
1,0,0,1,1.359771,4.55851,0.495868,4,1,1,1
1,0,1,2,1.119843,3.518866,0.495868,4,0,1,1
1,0,1,2,1.109844,0.84978,0.545455,4,0,1,1
1,0,1,2,1.379767,0.859773,0.6,4,0,1,1
1,1,0,2,1.75963,0.97969,0.66,4,0,1,0
1,0,0,2,0.72998,0.619848,0.66,4,1,1,0
1,0,0,2,0.350098,0.589859,0.66,4,1,1,0
1,0,0,3,0.31009,2.069364,0.6,4,1,1,1
1,1,0,3,0.77995,1.27962,0.6,4,0,1,1
1,0,0,4,0.350097,0.979739,0.6,4,1,1,0
1,1,1,3,2.829274,0.72982,0.545455,4,1,1,1
1,0,0,3,0.550005,0.7898,0.545455,4,1,1,1
1,1,1,3,2.059501,70.756091,0.545455,4,1,1,1
1,0,1,4,2.689297,1.469554,0.545455,4,0,1,1
1,0,0,4,0.689911,0.739815,0.6,4,1,1,1
1,0,0,4,0.250125,0.679857,0.6,4,1,1,0
1,0,0,4,0.210151,2.329289,0.545455,4,1,1,0
1,0,0,4,1.29976,2.279287,0.545455,4,1,1,1
1,0,0,3,0.390104,0.769795,0.495868,4,1,1,1
1,0,0,4,0.220138,0.629853,0.495868,4,1,1,1
1,0,0,2,1.899558,0.779794,0.450789,4,1,1,0
1,0,0,4,0.280108,0.769808,0.450789,4,1,1,0
1,1,1,2,1.339733,1.139675,0.409808,4,1,1,1
1,0,0,2,1.509721,1.519565,0.409808,4,1,1,1
1,0,0,3,0.460064,0.719827,0.409808,4,1,1,1
1,0,0,3,0.320087,0.679842,0.372553,4,1,1,1
1,0,0,3,0.550036,1.299636,0.372553,4,1,1,1
1,1,1,2,2.139496,1.479571,0.338684,4,1,1,1
1,0,0,4,0.669942,0.879776,0.338684,4,1,1,1
1,0,0,3,0.380102,1.099701,0.338684,4,1,1,1
1,0,0,3,0.220125,0.679829,0.307895,4,1,1,0
1,0,0,3,0.300087,0.719817,0.307895,4,1,1,0
1,0,0,4,0.620006,2.079356,0.279904,4,1,1,1
1,0,0,3,1.239814,1.069714,0.279904,4,1,1,0
1,1,1,3,2.339426,1.489565,0.254459,4,1,1,1
1,1,0,3,0.600026,0.639849,0.254459,4,0,1,0
1,0,1,2,3.159148,2.849115,0.179784,2,0,1,NaN
1,0,1,3,1.209758,1.609528,0.197762,2,0,1,NaN
1,0,0,3,0.570021,0.44992,0.217538,2,1,1,NaN
1,1,0,2,2.379384,1.279616,0.217538,2,0,1,NaN
1,1,1,2,0.819933,1.799465,0.217538,2,1,1,NaN
1,1,1,2,0.649971,0.709812,0.217538,2,1,1,NaN
1,0,0,2,0.39008,0.569886,0.217538,2,1,1,NaN
1,0,0,3,0.829955,0.819783,0.197762,2,1,1,NaN
1,0,0,3,0.570118,0.419917,0.197762,2,1,1,NaN
1,0,0,1,0.390102,1.789465,0.179784,2,1,1,NaN
1,1,1,2,0.899914,0.789802,0.179784,2,1,1,NaN
1,0,1,2,0.689949,0.78979,0.179784,2,0,1,NaN
1,0,1,2,0.500067,0.629843,0.197762,2,0,1,NaN
1,1,0,2,0.560049,0.929756,0.217538,2,0,1,NaN
1,0,0,2,0.630021,0.579857,0.217538,2,1,1,NaN
1,0,1,1,1.549689,1.419574,0.217538,2,0,1,NaN
1,0,1,2,1.239806,2.979066,0.239292,2,0,1,NaN
1,1,1,2,0.819961,0.799792,0.263221,2,1,1,NaN
1,0,1,2,1.619684,2.699143,0.263221,2,0,1,NaN
1,0,1,2,0.949908,1.049699,0.289543,2,0,1,NaN
1,1,1,1,0.899922,1.229641,0.318498,2,1,1,NaN
1,1,1,1,0.899893,1.009719,0.318498,2,1,1,NaN
1,1,1,2,1.739626,0.929756,0.318498,2,1,1,NaN
1,0,0,2,0.560031,0.619866,0.318498,2,1,1,NaN
1,0,0,3,0.120151,0.859774,0.318498,2,1,1,NaN
1,0,0,3,0.110184,0.249975,0.289543,2,1,1,NaN
1,0,0,3,0.020214,0.209996,0.289543,2,1,1,NaN
1,0,0,3,0.000242,0.15,0.263221,2,1,1,NaN
1,0,1,3,0.000209,0.140012,0.263221,2,0,1,NaN
1,0,1,3,0.06029,0.160021,0.289543,2,0,1,NaN
1,0,0,2,0.00021,7.127644,0.318498,2,1,1,NaN
1,0,0,2,2.369413,0.989733,0.318498,2,1,1,NaN
1,0,0,2,0.240119,0.37993,0.289543,2,1,1,NaN
1,1,1,1,2.839271,1.559523,0.289543,2,1,1,NaN
1,0,1,2,1.089879,0.639859,0.289543,2,0,1,NaN
1,0,0,2,0.370094,0.489892,0.318498,2,1,1,NaN
1,0,1,2,1.08983,0.979692,0.318498,2,0,1,NaN
1,0,0,2,0.260145,0.469915,0.350347,2,1,1,NaN
1,1,1,2,0.799932,0.749816,0.350347,2,1,1,NaN
1,0,0,2,0.180156,0.399944,0.350347,2,1,1,NaN
1,0,0,3,0.000284,0.23997,0.318498,2,1,1,NaN
1,1,1,2,0.380097,1.109681,0.318498,2,1,1,NaN
1,0,0,2,0.370097,0.669834,0.318498,2,1,1,NaN
1,0,0,3,0.020239,0.519891,0.289543,2,1,1,NaN
1,0,0,3,0.330098,0.359947,0.289543,2,1,1,NaN
1,0,0,3,0.190162,0.340054,0.263221,2,1,1,NaN
1,0,0,3,0.120172,0.269967,0.263221,2,1,1,NaN
1,0,0,3,0.180146,0.31996,0.239292,2,1,1,NaN
1,1,1,3,1.119858,0.819791,0.289543,1,1,1,NaN
1,1,1,3,0.350101,0.38992,0.289543,1,1,1,NaN
1,1,1,3,0.430064,0.33994,0.289543,1,1,1,NaN
1,1,1,2,0.470058,0.309966,0.289543,1,1,1,NaN
1,1,1,3,0.460044,0.150056,0.289543,1,1,1,NaN
1,1,1,2,0.46002,0.929746,0.289543,1,1,1,NaN
1,1,1,3,0.370116,0.219988,0.289543,1,1,1,NaN
1,1,1,3,0.270123,0.200008,0.289543,1,1,1,NaN
1,0,1,1,0.00021,2.429346,0.289543,1,0,1,NaN
1,1,1,2,1.279811,2.39925,0.318498,1,1,1,NaN
1,1,1,2,0.719949,0.709826,0.318498,1,1,1,NaN
1,1,1,2,0.729952,0.919758,0.318498,1,1,1,NaN
1,1,1,2,0.390099,0.459899,0.318498,1,1,1,NaN
1,1,1,2,0.330112,0.4999,0.318498,1,1,1,NaN
1,1,1,3,0.250131,0.37993,0.318498,1,1,1,NaN
1,1,1,3,0.390093,0.30995,0.318498,1,1,1,NaN
1,1,1,3,0.270141,0.289963,0.318498,1,1,1,NaN
1,1,1,3,0.000214,0.279957,0.318498,1,1,1,NaN
1,1,1,3,0.1102,1.139666,0.318498,1,1,1,NaN
1,1,1,2,0.400086,0.899744,0.318498,1,1,1,NaN
1,1,1,3,0.360068,0.329963,0.318498,1,1,1,NaN
1,0,1,1,0.000207,3.948739,0.318498,1,0,1,NaN
1,0,0,2,0.570016,0.699828,0.350347,1,1,1,NaN
1,0,0,1,0.30014,0.769796,0.350347,1,1,1,NaN
1,1,0,2,0.709979,0.559885,0.318498,1,0,1,NaN
1,0,0,3,0.320098,0.469896,0.318498,1,1,1,NaN
1,0,0,3,0.300117,0.269982,0.318498,1,1,1,NaN
1,1,1,2,1.119772,0.659833,0.289543,1,1,1,NaN
1,1,1,2,0.400057,0.699825,0.289543,1,1,1,NaN
1,0,1,2,0.46004,0.389937,0.289543,1,0,1,NaN
1,1,1,2,0.410051,0.399923,0.318498,1,1,1,NaN
1,1,1,2,0.000215,0.329944,0.318498,1,1,1,NaN
1,1,1,2,0.190153,0.379931,0.318498,1,1,1,NaN
1,1,1,2,0.380062,0.319949,0.318498,1,1,1,NaN
1,1,1,2,0.280138,0.269987,0.318498,1,1,1,NaN
1,1,1,2,0.350116,0.61985,0.318498,1,1,1,NaN
1,1,1,3,0.340102,0.279985,0.318498,1,1,1,NaN
1,0,0,1,0.370063,0.759813,0.318498,1,1,1,NaN
1,0,1,2,0.739947,0.569872,0.318498,1,0,1,NaN
1,1,1,2,0.310107,0.439926,0.350347,1,1,1,NaN
1,0,0,3,0.460144,0.679837,0.350347,1,1,1,NaN
1,0,0,2,0.829937,0.509886,0.350347,1,1,1,NaN
1,1,1,2,0.590101,0.919724,0.318498,1,1,1,NaN
1,0,1,2,1.679671,0.579878,0.318498,1,0,1,NaN
1,1,1,2,0.969884,0.539876,0.350347,1,1,1,NaN
1,1,1,2,0.06022,0.779793,0.350347,1,1,1,NaN
1,1,1,2,0.180115,0.369942,0.350347,1,1,1,NaN
1,1,1,2,0.000208,0.499889,0.350347,1,1,1,NaN
1,1,1,1,4.198801,0.96974,0.350347,1,1,1,NaN
1,1,1,2,0.400082,0.53989,0.350347,1,1,1,NaN
1,0,0,3,0.33011,0.879766,0.350347,1,1,1,NaN
1,1,1,2,0.849944,1.339599,0.350347,1,1,1,NaN
1,0,0,3,0.140162,0.64983,0.350347,1,1,1,NaN
1,0,0,3,0.38009,0.29996,0.318498,1,1,1,NaN
