Subj_idx,Stimulus,Response,Confidence,RT_dec,NoiseLevel,Condition,Accuracy,Mean_direction,SD_direction
1,0,1,53,3.409965992,1.160643953,6,0,-44.04213467,54.08695171
1,0,0,61,1.713670969,1.160643953,6,1,-46.11239534,57.22472649
1,1,0,61,1.217626095,1.160643953,6,0,43.91938751,56.47584663
1,0,1,51,1.015960932,1.160643953,6,0,-46.48441982,56.46240182
1,1,1,54,1.399652958,1.160643953,6,1,36.26762395,56.76359716
1,0,1,75,0.785226107,1.160643953,6,0,-40.85875888,55.59351827
1,1,1,59,2.473266125,1.160643953,6,1,53.14701368,54.15078668
1,0,1,51,1.509253979,1.160643953,6,0,-41.86084456,58.02658554
1,1,1,58,1.593109846,1.160643953,6,1,46.4576655,55.58502648
1,1,0,59,0.898845911,1.160643953,6,0,40.66987174,53.0705054
1,1,0,59,0.866894007,0.715584993,3,0,47.04316106,39.15322302
1,0,1,63,0.850989103,1.160643953,6,0,-39.69469945,53.52450008
1,1,1,55,0.934795141,1.160643953,6,1,43.82717604,57.48534512
1,1,1,59,0.902588844,0.715584993,3,1,41.68304167,37.51343554
1,0,1,59,0.902621031,1.160643953,6,0,-49.55044163,55.07748311
1,1,1,55,0.980607033,1.160643953,6,1,44.84662482,59.65787933
1,1,1,61,0.902499914,0.715584993,3,1,41.1431573,41.21697127
1,0,1,68,0.642303944,0.715584993,3,0,-45.73195244,41.81140111
1,1,1,63,0.778267145,0.715584993,3,1,43.00243639,37.23728868
1,0,1,64,0.766301155,1.160643953,6,0,-39.51923229,54.88220808
1,1,1,59,1.622241974,1.160643953,6,1,40.5092723,58.35891886
1,0,1,71,1.292417049,0.715584993,3,0,-44.17119695,39.52712646
1,1,1,79,0.890154123,1.160643953,6,1,52.77515274,55.88584913
1,0,1,75,0.613970041,1.160643953,6,0,-47.09852759,59.28222874
1,1,1,73,0.259956837,1.160643953,6,1,40.99384306,56.4579439
1,0,1,78,0.970034838,1.160643953,6,0,-46.21525204,53.77747669
1,0,1,72,0.421876907,1.160643953,6,0,-44.9011372,56.67609766
1,1,1,76,1.171881914,1.160643953,6,1,43.75492029,59.73708908
1,1,1,76,0.665779829,0.715584993,3,1,48.94947166,38.86509809
1,1,1,70,1.219815969,1.160643953,6,1,43.53519154,58.9493579
1,1,1,70,0.879575968,1.160643953,6,1,42.75127864,52.38127753
1,0,0,52,1.563551903,1.160643953,6,1,-46.8470032,55.91450552
1,0,1,58,1.009501219,1.160643953,6,0,-39.70200652,57.10109851
1,0,1,55,1.143303871,0.715584993,3,0,-39.3543822,37.11684318
1,0,0,59,0.853321075,0.715584993,3,1,-45.06428373,36.51240595
1,1,1,70,0.843266964,1.160643953,6,1,48.3702501,56.35526347
1,0,1,64,1.003084898,1.160643953,6,0,-43.18008886,53.12573496
1,0,0,56,1.61528492,1.160643953,6,1,-47.79137703,54.28717856
1,0,0,62,1.337023973,1.160643953,6,1,-47.93828921,56.98678223
1,1,1,64,0.891015053,1.160643953,6,1,37.25457858,55.92340733
1,1,1,63,1.302983046,1.160643953,6,1,38.14740419,53.94575151
1,0,1,58,1.060714006,1.160643953,6,0,-42.44605718,58.51338765
1,1,1,61,1.026769876,0.715584993,3,1,43.48871782,41.16549592
1,0,1,62,1.180645943,1.160643953,6,0,-39.68612352,57.67391813
1,1,1,60,0.652642012,1.160643953,6,1,49.37893228,53.38863685
1,0,1,65,0.778743982,1.160643953,6,0,-52.55419652,56.97375425
1,1,1,60,0.798527956,1.160643953,6,1,45.62927088,57.77323932
1,1,1,63,0.618882895,1.160643953,6,1,44.02157552,57.58184611
1,1,1,61,0.508358002,0.715584993,3,1,44.93995244,38.04008883
1,0,0,78,0.972640038,0.715584993,3,1,-46.49775256,40.24944724
1,0,1,80,0.706317902,0.715584993,3,0,-44.143759,37.01045019
1,0,0,80,0.690181017,0.715584993,3,1,-45.78473862,38.90560982
1,1,1,76,0.560008049,1.160643953,6,1,45.92842162,53.75169171
1,0,1,69,0.768116951,1.160643953,6,0,-43.88899386,59.96959221
1,0,1,58,1.42194891,1.160643953,6,0,-40.73305062,52.19602341
1,1,1,65,0.44786787,1.160643953,6,1,46.73733573,57.52319804
1,0,0,62,2.15353179,1.160643953,6,1,-44.82176215,54.12109932
1,0,0,66,0.86349082,1.160643953,6,1,-41.0203625,51.33362432
1,1,1,69,0.591607094,1.160643953,6,1,43.37214644,51.78791129
1,0,0,73,0.637260199,0.715584993,3,1,-44.09513711,36.90750938
1,0,1,71,0.729226112,1.160643953,6,0,-37.40157942,54.60546915
