Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition,Accuracy,Trial,Block,Sol_letters,Tar_letters,Sol_freq,Tar_freq,Letter_changed
1,1,NaN,4,NaN,1.868,1,NaN,1,0,NaN,NaN,NaN,NaN,NaN
1,2,2,3,0.896,2.146,1,1,2,0,NaN,NaN,NaN,NaN,NaN
1,2,2,2,2.579,2.15,1,1,3,1,7,7,126,126,0
1,1,1,4,1.364,0.863,1,1,4,1,8,7,272,12786,0
1,2,1,2,2.548,1.886,1,0,5,1,8,8,248,248,0
1,1,1,2,2.067,1.629,1,1,6,1,8,7,1022,556,1
1,2,2,4,1.056,1.203,1,1,7,1,7,7,613,613,0
1,1,1,2,1.012,3.511,1,1,8,1,8,7,104,100,1
1,1,2,2,2.213,1.253,1,0,9,1,8,9,3412,100,1
1,1,2,2,2.449,1.021,1,0,10,1,7,7,618,1644,1
1,1,1,2,2.77,1.163,1,1,11,1,8,8,594,100,1
1,1,2,2,2.584,4.017,1,0,12,1,8,7,857,227,1
1,2,2,2,2.295,1.79,1,1,13,1,8,8,162,162,0
1,1,2,2,2.065,1.059,1,0,14,1,8,7,134,196,1
1,2,1,2,2.96,1.024,1,0,15,1,8,8,1124,1124,0
1,1,1,2,2.067,2.346,1,1,16,1,7,7,177,236,1
1,2,2,2,2.293,0.971,1,1,17,1,9,9,707,707,0
1,1,1,2,1.236,0.884,1,1,18,2,8,6,896,100,2
1,1,1,2,2.58,0.817,1,1,19,2,8,7,962,408,2
1,1,1,2,0.932,1.493,1,1,20,2,8,6,175,160,2
1,2,2,2,2.651,1.244,1,1,21,2,6,6,422,422,0
1,1,1,2,2.534,0.856,1,1,22,2,8,7,976,283,2
1,2,NaN,2,NaN,0.817,1,NaN,23,2,8,8,2183,2183,0
1,2,1,2,1.562,0.864,1,0,24,2,9,9,653,653,0
1,2,2,1,1.632,2.273,1,1,25,2,8,8,1026,1026,0
1,2,2,3,1.645,3.003,1,1,26,2,7,7,248,248,0
1,2,2,2,2.105,0.794,1,1,27,2,7,7,212,212,0
1,2,2,2,1.411,2.619,1,1,28,2,8,8,328,328,0
1,1,2,2,1.802,1.22,1,0,29,2,9,9,2212,100,2
1,1,2,3,1.872,1.329,1,0,30,2,9,9,120,1042,1
1,1,1,2,1.058,0.551,1,1,31,2,8,6,455,457,2
1,2,2,1,1.485,1.882,1,1,32,2,7,7,920,920,0
2,2,2,4,1.823,8.221,1,1,1,0,NaN,NaN,NaN,NaN,NaN
2,1,2,4,0.838,1.409,1,0,2,0,NaN,NaN,NaN,NaN,NaN
2,2,2,1,0.415,5.528,1,1,3,1,9,9,707,707,0
2,2,2,2,0.227,5.632,1,1,4,1,8,8,162,162,0
2,2,2,1,0.77,4.099,1,1,5,1,8,8,248,248,0
2,1,2,1,0.541,1.036,1,0,6,1,8,9,3412,100,1
2,1,1,1,1.764,4.639,1,1,7,1,8,7,134,196,1
2,1,NaN,1,NaN,3.737,1,NaN,8,1,8,8,594,100,1
2,2,NaN,4,NaN,2.528,1,NaN,9,1,7,7,613,613,0
2,2,2,2,0.136,6.852,1,1,10,1,7,7,126,126,0
2,1,2,1,0.68,5.004,1,0,11,1,8,7,272,12786,0
2,1,2,1,0.421,0.899,1,0,12,1,7,7,618,1644,1
2,1,2,1,0.384,0.984,1,0,13,1,8,7,857,227,1
2,1,2,1,0.745,0.809,1,0,14,1,8,7,1022,556,1
2,1,1,1,1.386,1.898,1,1,15,1,8,7,104,100,1
2,1,1,1,2.625,2.066,1,1,16,1,7,7,177,236,1
2,2,2,1,0.887,3.017,1,1,17,1,8,8,1124,1124,0
2,2,NaN,1,NaN,1.425,1,NaN,18,2,8,8,328,328,0
2,2,2,1,0.571,0.577,1,1,19,2,7,7,248,248,0
2,2,2,1,0.717,0.753,1,1,20,2,8,8,1026,1026,0
2,2,2,1,0.771,0.651,1,1,21,2,8,8,2183,2183,0
2,1,2,1,1.465,0.964,1,0,22,2,8,7,976,283,2
2,1,2,1,1.151,1.328,1,0,23,2,9,9,120,1042,1
2,1,2,1,1.158,1.734,1,0,24,2,9,9,2212,100,2
2,1,2,1,0.754,1.484,1,0,25,2,8,6,896,100,2
2,2,2,1,1.377,1.605,1,1,26,2,9,9,653,653,0
2,2,1,1,1.851,2.865,1,0,27,2,7,7,212,212,0
