Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition,Accuracy,Response_key,Solution,Target,Anagram,Type_of_change,RT_covresp,Trial,Sol_letters,Target_letters
1,0,NaN,2,NaN,2.365,2,1,0,NaN,koniczyna,zakonnica,NYNICZKOA,changed,NaN,3,9,9
1,1,1,3,1.045,2.051,3,1,1,o,rachunek,rachunek,ENCKRHAU,none,NaN,4,8,8
1,1,1,NaN,0.466,NaN,3,1,1,o,cmentarz,cmentarz,RNACTMZE,none,NaN,5,8,8
1,1,1,4,0.092,1.637,3,1,1,o,bakteria,bakteria,AREIAKTB,none,NaN,6,8,8
1,1,1,4,1.45,1.921,3,1,1,o,dinozaur,dinozaur,OIDZUARN,none,NaN,7,8,8
1,0,1,3,1.832,2.362,1,1,0,o,stolnica,stolica,ILOTNCSA,added,NaN,8,8,7
1,1,1,3,1.596,1.245,3,1,1,o,nadzieja,nadzieja,ZDAEJNAI,none,NaN,9,8,8
1,0,NaN,NaN,NaN,NaN,1,1,0,NaN,bratanek,kabaret,RNATBKEA,added,NaN,10,8,7
1,0,1,1,2.623,0.61,0,1,0,o,doniczka,odznaka,OCDAIZKN,added&changed,NaN,11,8,7
1,0,1,2,1.364,2.987,1,1,0,o,koszula,kalosz,OULZKSA,added,NaN,12,7,6
1,1,NaN,4,NaN,2.41,3,1,0,NaN,trucizna,trucizna,CNRIZAUT,none,NaN,13,8,8
1,1,1,4,2.952,0.737,3,1,1,o,lakomstwo,lakomstwo,TLKOASOWM,none,NaN,14,9,9
1,0,NaN,4,NaN,1.975,2,1,0,NaN,czujnik,czajnik,KZIJUNC,changed,NaN,15,7,7
1,1,1,NaN,1.279,NaN,3,1,1,o,korytarz,korytarz,RTZKYARO,none,NaN,16,8,8
1,1,1,3,1.824,1.557,3,1,1,o,mieszkanie,mieszkanie,ZKESIAIENM,none,NaN,17,10,10
1,0,0,4,1.62,2.62,0,1,1,p,sniezyca,sciezka,ICEYZANS,added&changed,NaN,18,8,7
1,0,0,4,1.442,2.666,2,1,1,p,rakieta,karetka,RKEAIAT,changed,NaN,19,7,7
1,0,0,4,1.87,1.214,1,1,1,p,podstawa,dostawa,AODSTPAW,added,NaN,20,9,8
1,1,1,3,1.801,1.17,3,1,1,o,tabletka,tabletka,KTALAETB,none,NaN,21,8,8
1,0,1,3,1.079,1.403,1,1,0,o,uzdrowisko,skorowidz,ISDRKWOZUO,added,NaN,22,10,9
1,1,1,4,1.276,1.439,3,1,1,o,kurczak,kurczak,CKRAZKU,none,NaN,23,7,7
1,0,0,4,1.398,0.812,2,1,1,p,klamerka,kelnerka,ELAMKRKA,changed,NaN,24,8,8
1,0,0,4,1.087,2.679,2,1,1,p,bratowa,watroba,TRWAOBA,changed,NaN,25,7,7
1,1,1,4,1.087,0.762,3,1,1,o,kochanka ,kochanka ,AKNAOHCK,none,NaN,26,8,8
1,1,1,2,1.088,1.831,3,1,1,o,bankomat,bankomat,AKMOTABN,none,NaN,27,8,8
1,1,1,3,1.247,1.049,3,1,1,o,remanent,remanent,TRMNAENE,none,NaN,28,8,8
1,0,0,4,1.123,1.358,0,1,1,p,sliniak,slimak,IALNKIS,added&changed,NaN,29,7,6
1,1,1,4,0.371,0.485,3,1,1,o,dzielnica,dzielnica,NZLDIACIE,none,NaN,30,9,9
1,0,0,4,0.569,0.54,1,1,1,p,spotkanie,eksponat,TPNSKAOIE,added,NaN,31,9,8
1,0,0,4,0.648,0.909,2,1,1,p,zmiennik,ziemniak,NZIEKNMI,changed,NaN,32,8,8
1,0,0,4,0.655,0.882,0,1,1,p,kregoslup,skorupa,UGELROKSP,added&changed,NaN,33,9,7
1,0,0,4,0.214,0.142,1,1,1,p,katalog,lokata,KTGALOA,added,NaN,34,7,6
1,0,0,4,0.961,0.777,1,1,1,p,kosiarka,sikorka,RSKIOAKA,added,NaN,35,8,7
1,1,1,4,0.215,0.456,3,1,1,o,plantacja,plantacja,CJATLANPA,none,NaN,36,9,9
1,1,1,2,1.3,1.724,3,1,1,o,prowincja,prowincja,RPWIJNOAC,none,NaN,37,9,9
1,0,0,3,1.218,1.568,1,1,1,p,naparstek,pasterka,RAEKNSTPA,added,NaN,38,9,8
1,0,0,4,0.38,0.969,1,1,1,p,wanilia,lawina,WLNIAIA,added,NaN,39,7,6
1,1,1,4,0.858,0.331,3,1,1,o,parowka,parowka,RAOKAPW,none,NaN,40,7,7
1,1,1,3,0.793,0.926,3,1,1,o,klasztor,klasztor,ARLZOSTK,none,NaN,41,8,8
1,1,1,4,0.375,0.727,3,1,1,o,potrawa,potrawa,PAOATWR,none,NaN,42,7,7
2,0,NaN,NaN,NaN,NaN,2,1,0,NaN,potrawa,poprawa,PAOATWR,changed,NaN,3,7,7
2,1,1,4,1.687,2.542,3,1,1,p,klamerka,klamerka,ELAMKRKA,none,NaN,4,8,8
2,1,1,NaN,1.433,NaN,3,1,1,p,stolnica,stolnica,ILOTNCSA,none,NaN,5,8,8
2,1,1,3,1.372,2.918,3,1,1,p,podstawa,podstawa,AODSTPAW,none,NaN,6,9,9
