Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Accuracy,Condition,Block_type
1,1.0,1.0,4.0,1.823,2.39,1.0,0,0
1,1.0,1.0,4.0,2.49,1.926,1.0,0,0
1,1.0,1.0,4.0,2.316,0.927,1.0,0,0
1,2.0,2.0,2.0,2.782,3.742,1.0,0,0
1,2.0,NaN,1.0,NaN,0.1,0.0,0,0
1,2.0,2.0,3.0,1.939,1.525,1.0,0,0
1,NaN,NaN,NaN,NaN,NaN,NaN,0,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,9
1,1.0,1.0,1.0,2.493,1.609,1.0,0,1
1,1.0,1.0,4.0,1.693,2.457,1.0,0,1
1,1.0,1.0,4.0,1.546,0.619,1.0,0,1
1,2.0,2.0,4.0,1.878,0.874,1.0,0,1
1,1.0,1.0,4.0,1.275,0.664,1.0,0,1
1,2.0,2.0,1.0,2.496,0.972,1.0,0,1
1,2.0,2.0,1.0,3.048,1.918,1.0,0,1
1,1.0,1.0,4.0,1.54,0.886,1.0,0,1
1,1.0,1.0,2.0,2.854,1.652,1.0,0,1
1,2.0,2.0,2.0,2.405,2.052,1.0,0,1
1,1.0,1.0,4.0,2.086,1.25,1.0,0,1
1,1.0,1.0,4.0,2.099,0.783,1.0,0,1
1,2.0,1.0,1.0,2.482,0.91,0.0,0,1
1,2.0,2.0,2.0,1.901,0.96,1.0,0,1
1,2.0,2.0,4.0,1.87,1.106,1.0,0,1
1,1.0,1.0,4.0,1.658,0.615,1.0,0,1
1,2.0,2.0,4.0,1.938,0.66,1.0,0,1
1,2.0,2.0,2.0,2.365,1.694,1.0,0,1
1,2.0,2.0,3.0,2.126,1.737,1.0,0,1
1,1.0,2.0,2.0,1.991,1.975,0.0,0,1
1,NaN,NaN,NaN,NaN,NaN,NaN,0,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,9
