Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Accuracy,Condition,Gender,Age,Block_type
1,2,1,NaN,2.002,NaN,0,0,0,23,0
1,2,1,4,1.024,1.591,0,0,0,23,0
1,2,1,1,0.542,0.744,0,0,0,23,0
1,1,1,4,0.721,1.076,1,0,0,23,0
1,1,1,1,1.279,0.971,1,0,0,23,0
1,1,1,1,2.267,0.864,1,0,0,23,0
1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,23,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,23,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,23,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,23,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,23,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,23,9
1,2,2,1,1.296,1.084,1,0,0,23,1
1,1,1,2,0.695,1.146,1,0,0,23,1
1,2,2,4,0.867,1.472,1,0,0,23,1
1,2,2,1,1.34,0.982,1,0,0,23,1
1,1,1,4,0.581,0.829,1,0,0,23,1
1,1,1,4,0.595,0.763,1,0,0,23,1
1,2,2,1,0.595,0.795,1,0,0,23,1
1,1,2,1,0.61,0.57,0,0,0,23,1
1,1,1,4,0.314,0.796,1,0,0,23,1
1,1,1,4,0.755,0.548,1,0,0,23,1
1,2,2,2,0.518,0.912,1,0,0,23,1
1,2,2,2,0.595,0.746,1,0,0,23,1
1,2,2,4,0.467,0.576,1,0,0,23,1
1,1,1,4,0.384,0.608,1,0,0,23,1
1,2,2,2,0.943,1.721,1,0,0,23,1
1,1,1,2,0.475,1.527,1,0,0,23,1
1,2,2,1,0.801,0.896,1,0,0,23,1
1,1,1,3,0.355,1.044,1,0,0,23,1
1,1,2,1,0.817,0.992,0,0,0,23,1
1,2,2,3,1.247,1.132,1,0,0,23,1
1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,23,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,23,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,23,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,23,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,23,9
1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,23,9
1,1,2,2,0.636,0.818,0,0,0,23,2
1,2,2,1,0.393,0.68,1,0,0,23,2
1,1,2,4,0.453,0.61,0,0,0,23,2
