Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Accuracy,Trial_in_block
1,1,0,1,1.344,1.515,1,0,1
1,1,1,4,2.067,1.975,2,1,2
1,0,0,4,1.217,0.959,2,1,3
1,1,1,2,1.427,0.791,1,1,4
1,1,1,4,0.942,0.94,1,1,5
1,0,0,4,1.023,0.503,1,1,6
1,0,0,3,0.924,0.967,1,1,7
1,0,0,4,1.014,0.928,1,1,8
1,1,0,3,1.014,0.512,1,0,9
1,1,1,4,1.297,0.698,2,1,10
1,1,1,4,0.545,0.651,1,1,11
1,0,0,2,1.081,1.117,1,1,12
1,1,1,2,1.774,0.432,2,1,13
1,0,0,2,1.096,0.53,1,1,14
1,0,0,2,1.567,0.671,2,1,15
1,1,1,4,1.134,0.472,2,1,16
1,1,1,2,1.284,1.001,2,1,17
1,1,1,4,1.094,0.617,2,1,18
1,0,0,3,0.991,0.386,1,1,19
1,1,1,3,0.994,0.903,1,1,20
1,1,1,3,0.93,0.435,1,1,21
1,0,0,4,0.761,0.395,2,1,22
1,0,0,3,1.307,1.435,1,1,23
1,1,NaN,2,NaN,0.79,2,0,24
1,0,0,2,0.878,1.131,2,1,25
1,0,0,4,2,0.429,2,1,26
1,0,0,2,1.124,0.652,1,1,27
1,0,0,3,0.928,0.55,2,1,28
1,1,1,3,1.717,1.09,1,1,29
1,0,0,3,1.45,0.406,2,1,30
1,1,1,3,0.957,0.903,1,1,31
1,1,1,4,1.308,0.535,2,1,32
1,0,0,2,0.817,0.39,2,1,33
1,0,0,2,1.01,0.415,2,1,34
1,0,0,3,1.301,1.245,1,1,35
1,1,1,3,0.551,0.364,2,1,36
1,1,1,4,1.725,2.421,2,1,1
1,0,0,4,1.011,0.855,2,1,2
1,1,1,4,1.164,0.528,2,1,3
1,1,1,2,1.184,1.605,1,1,4
1,0,1,2,1.258,0.955,2,0,5
1,0,0,2,1.134,0.739,2,1,6
1,0,0,2,1.017,1.324,1,1,7
1,0,0,3,1.064,1.068,1,1,8
1,1,1,4,1.134,1.412,1,1,9
1,0,0,4,0.778,0.997,1,1,10
1,0,0,4,0.992,1.281,1,1,11
1,0,0,2,0.984,0.858,1,1,12
1,0,0,4,0.947,0.415,2,1,13
1,1,1,3,1.124,0.893,1,1,14
1,0,0,3,0.977,0.598,2,1,15
1,0,0,3,0.734,0.505,2,1,16
1,1,0,3,1.5,0.557,2,0,17
1,1,1,4,1.262,0.867,1,1,18
1,1,0,4,1.861,0.637,2,0,19
1,1,1,4,1.18,0.674,2,1,20
1,0,1,4,2.184,0.599,1,0,21
1,1,1,4,0.464,0.651,1,1,22
1,0,0,2,1.064,1.745,1,1,23
1,1,0,4,1.034,0.554,2,0,24
1,1,1,2,1.398,1.676,1,1,25
1,1,1,3,1.117,0.813,1,1,26
1,1,1,2,1.13,1.308,1,1,27
1,1,1,4,1.914,0.721,2,1,28
1,1,0,4,1.017,0.625,1,0,29
1,0,0,2,1.15,0.742,1,1,30
1,0,0,4,1.198,0.323,2,1,31
1,0,0,4,0.861,1.107,2,1,32
1,1,1,4,1.151,0.599,2,1,33
1,0,0,2,1.217,0.856,1,1,34
1,1,0,4,0.979,0.717,2,0,35
1,0,0,4,1.074,0.362,2,1,36
2,0,0,2,1.289,1.584,1,1,1
2,1,1,3,1.101,0.595,1,1,2
2,1,0,1,1.491,0.75,1,0,3
2,0,0,3,1.263,0.989,2,1,4
2,0,1,4,0.97,0.667,1,0,5
2,1,1,3,1.182,0.819,2,1,6
2,0,0,4,1.282,1.25,2,1,7
2,0,0,2,1.085,0.554,2,1,8
2,0,1,4,1.029,0.536,1,0,9
2,0,0,2,1.212,0.243,2,1,10
2,1,1,2,0.995,0.253,1,1,11
2,1,1,2,0.975,0.464,1,1,12
2,1,1,2,0.814,0.752,2,1,13
2,1,1,2,1.011,0.869,2,1,14
2,1,1,2,1.074,0.426,1,1,15
2,0,1,1,0.938,0.81,2,0,16
2,0,1,4,0.791,0.386,1,0,17
2,0,1,3,0.878,0.7,2,0,18
2,1,1,4,1.025,1.008,1,1,19
2,0,0,2,1.171,0.436,2,1,20
2,0,1,NaN,0.941,0,1,0,21
2,0,1,2,0.96,0.224,1,0,22
2,1,1,4,1.171,1.039,2,1,23
2,0,0,2,1.6,0.9,2,1,24
2,1,1,2,1.148,0.581,2,1,25
2,1,1,2,0.728,0.779,1,1,26
2,0,1,2,0.921,0.531,2,0,27
2,1,1,3,0.838,1.963,2,1,28
2,1,1,1,0.862,1.155,2,1,29
2,1,1,2,0.828,0.733,1,1,30
2,1,1,2,0.861,0.74,2,1,31
2,1,1,2,0.897,0.569,1,1,32
2,0,0,3,1.311,1.059,1,1,33
2,0,0,2,1.061,2.084,1,1,34
2,1,1,2,1.018,0.199,2,1,35
2,0,0,2,0.945,0.771,1,1,36
2,0,0,2,1.796,1.789,2,1,1
2,0,1,2,1.123,0.309,1,0,2
2,0,0,2,1.117,0.773,2,1,3
2,1,0,1,1.273,0.14,1,0,4
2,0,0,4,1.358,1.639,2,1,5
2,1,1,3,0.928,0.605,2,1,6
2,1,1,3,1.017,1.001,1,1,7
2,0,1,3,0.854,0.591,2,0,8
2,0,1,3,1.26,0.808,1,0,9
2,1,1,2,0.865,0.7,2,1,10
2,0,1,3,1.058,0.893,1,0,11
2,1,0,3,1.328,0.671,2,0,12
2,0,1,3,1.451,0.581,2,0,13
2,1,0,2,1.323,0.761,1,0,14
2,0,1,3,1.011,0.088,1,0,15
2,0,1,3,1.164,0.186,2,0,16
2,1,1,2,0.987,0.262,2,1,17
2,1,1,4,0.96,0.273,1,1,18
2,1,1,3,0.834,0.749,2,1,19
2,0,1,3,0.753,0.504,2,0,20
2,1,1,3,0.818,0.137,2,1,21
2,0,0,3,1.09,1.588,2,1,22
2,1,1,3,0.721,1.229,2,1,23
2,1,1,4,0.761,1.446,1,1,24
2,1,1,3,0.947,0.017,1,1,25
2,1,1,3,0.872,0.729,1,1,26
2,1,1,3,0.661,0.175,1,1,27
2,1,1,3,0.719,0.977,2,1,28
2,0,0,3,1.11,0.84,1,1,29
2,1,0,3,0.983,0.034,1,0,30
2,0,1,3,1.058,1.466,1,0,31
2,0,0,3,1.015,0.715,1,1,32
2,0,1,NaN,1.276,0,1,0,33
2,0,1,3,0.992,0.09,2,0,34
2,0,1,2,0.923,0.143,1,0,35
2,1,1,3,0.812,0.401,2,1,36
2,1,1,3,1.063,1.386,1,1,1
2,1,0,3,1.072,0.962,1,0,2
2,1,1,3,1.048,0.869,2,1,3
2,0,1,3,0.676,0.73,1,0,4
2,0,1,2,1.188,0.679,1,0,5
2,1,1,NaN,0.801,0,1,1,6
2,0,0,2,1.009,0.586,1,1,7
2,1,1,4,0.97,0.465,1,1,8
2,1,1,4,2.026,0.842,2,1,9
2,1,1,3,1.041,0.169,1,1,10
2,1,1,3,1.101,0.312,1,1,11
2,0,1,3,0.822,0.076,2,0,12
2,1,1,2,0.954,0.327,2,1,13
2,0,0,3,0.981,0.052,2,1,14
2,1,1,3,0.833,0.051,2,1,15
2,0,1,3,1.088,2.188,2,0,16
2,1,0,3,1.056,0.771,2,0,17
2,0,1,3,1.003,0.092,1,0,18
2,1,1,3,1.051,2.749,2,1,19
2,0,0,3,1.063,1.47,2,1,20
2,1,0,3,1.307,1.46,1,0,21
2,1,1,2,0.834,1.4,2,1,22
2,0,0,4,0.987,0.647,1,1,23
2,1,0,3,1.179,1.703,2,0,24
2,1,1,3,0.923,0.576,1,1,25
2,0,1,3,0.902,1.588,2,0,26
2,1,1,3,0.924,1.293,2,1,27
2,0,1,3,0.904,0.163,2,0,28
