Subj_idx,Stimulus,Response,Confidence,RT_dec,Angle perturbation
1,2,1,4,4.913598,-30
1,1,1,5,4.23731,0
1,2,2,4,3.0404,40
1,2,1,4,2.48282,-40
1,1,1,5,2.46995,0
1,2,2,5,2.3769,41
1,2,1,5,1.7975,-40
1,2,1,5,1.555,40.264
1,2,1,5,1.38,-40.528
1,2,2,3,1.5551,-40.792
1,2,2,3,2.0121,40.692
1,2,2,3,2.9374,40.592
1,1,1,5,3.5446,0
1,2,2,4,1.6684,-40.492
1,2,2,5,1.8911,40.392
1,2,2,4,1.7689,-40.292
1,2,1,2,2.6043,-40.192
1,2,1,3,3.0628,40.456
1,1,1,5,1.5907,0
1,1,1,5,1.5587,0
1,2,2,5,1.7535,40.72
1,2,1,3,2.0195,-40.62
1,2,1,4,1.2479,-40.884
1,2,2,4,1.0347,41.148
1,2,1,4,0.8547,-41.048
1,2,2,4,4.0818,41.312
1,2,1,4,0.8483,-41.212
1,2,1,4,1.6733,41.476
1,1,1,5,1.1383,0
1,2,1,2,4.3906,-41.74
1,2,1,3,1.9299,42.004
1,2,2,3,1.122,42.268
1,2,2,4,1.6028,-42.168
1,1,1,5,2.1846,0
1,1,1,5,1.6452,0
1,2,2,1,3.6581,-42.068
1,2,1,2,3.4964,41.968
1,2,1,3,1.997,-42.232
1,2,2,2,1.2793,42.496
1,1,1,5,1.379,0
1,2,1,4,0.9609,-42.396
1,2,1,2,2.583,42.66
1,2,1,4,0.9801,-42.924
1,2,2,5,1.4924,43.188
1,2,1,4,0.7769,-43.088
1,2,1,4,1.6532,43.352
1,2,1,4,0.8857,-43.616
1,1,1,5,1.155,0
1,2,1,5,1.6103,43.88
1,2,1,4,1.1494,44.144
1,2,1,5,0.7402,-44.408
1,2,1,5,0.7661,-44.672
1,2,1,4,1.6077,44.936
1,1,1,5,1.0478,0
1,1,1,5,1.2492,0
1,2,2,3,1.2545,-45.2
1,2,1,5,1.6881,45.1
1,2,2,4,1.4926,-45.364
1,2,2,3,1.1588,45.264
1,2,2,5,1.3751,45.164
1,2,2,5,1.0788,-45.064
1,2,1,3,1.4033,-44.964
1,2,2,5,1.0866,45.228
1,1,1,4,1.0583,0
1,2,2,5,0.8392,45.128
1,2,2,4,1.1362,-45.028
1,2,1,5,1.0413,44.928
1,2,1,4,0.7698,-45.192
1,1,1,5,0.9146,0
1,2,1,5,0.7662,-45.456
1,2,2,4,2.7176,45.72
1,2,1,5,1.0636,45.62
1,2,2,5,1.3712,-45.884
1,1,1,5,1.9133,0
1,2,1,5,1.049,-45.784
1,2,1,5,1.0374,46.048
1,1,1,5,1.0382,0
1,2,2,5,1.16,-46.312
1,2,1,5,1.4739,46.212
1,2,2,4,1.25159,-46.74
1,2,2,4,1.02756,-46.64
1,2,2,5,0.7553,46.54
1,1,1,5,1.73498,0
1,2,1,5,1.14418,46.44
1,2,2,5,1.6607,-46.704
1,2,2,5,1.06097,-46.604
1,1,1,5,1.9402,0
1,2,1,5,1.1177,46.504
1,2,1,5,0.9356,46.768
1,1,1,5,1.1998,0
1,2,2,4,1.6055,-47.032
1,2,2,4,0.9469,46.932
1,2,2,5,1.1708,-46.832
1,2,2,3,0.978,46.732
1,2,2,1,2.8358,-46.632
1,1,1,5,1.2864,0
1,2,2,3,1.3915,46.532
1,2,2,3,1.0295,-46.432
1,2,2,5,0.8279,46.332
