Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Task
1,1,1,5,1.6268,1.5937,12,1
1,1,1,6,0.84917,1.3264,12,1
1,2,2,2,1.2162,0.6945,13,1
1,2,2,3,0.88494,1.2854,13,1
1,1,2,1,1.43,0.65469,14,1
1,1,1,2,1.0689,1.409,13,1
1,1,1,2,1.2143,1.1722,13,1
1,1,2,1,2.0395,0.86247,14,1
1,2,2,3,1.3251,1.1291,13,1
1,2,2,3,1.2343,0.41643,13,1
1,1,2,2,1.1629,1.0476,14,1
1,1,1,5,1.0598,0.93831,13,1
1,2,2,4,2.0007,0.75334,13,1
1,2,1,3,0.85821,1.3002,14,1
1,1,1,1,2.3753,0.65244,13,1
1,2,1,1,1.3269,1.9366,13,1
1,1,2,3,1.3388,0.72145,12,1
1,1,1,6,0.92569,1.3166,11,1
1,2,2,6,0.67893,0.8214,11,1
1,1,2,2,1.5414,0.70308,12,1
1,1,1,5,0.86047,1.7114,11,1
1,1,1,6,0.95969,0.70302,11,1
1,1,2,3,1.5004,0.89956,12,1
1,1,1,6,0.7596,0.72152,11,1
1,2,1,1,1.0501,2.0655,11,1
1,2,2,4,1.0658,1.6859,10,1
1,2,2,3,2.7934,1.6571,10,1
1,1,2,1,1.1702,1.3918,11,1
1,2,2,3,1.5796,1.5235,10,1
1,2,2,1,2.7035,2.1236,10,1
1,2,2,3,1.0714,2.3339,11,1
1,2,1,2,1.5654,0.91853,11,1
1,1,1,5,0.85261,0.76433,10,1
1,2,2,1,1.6312,1.0783,10,1
1,1,1,5,0.8047,0.74401,11,1
1,2,2,6,0.85521,0.5419,11,1
1,2,2,3,1.3576,0.74881,12,1
1,1,1,3,1.2945,1.9671,12,1
1,1,1,2,0.92449,0.77267,13,1
1,2,1,1,1.8142,0.44518,13,1
1,2,2,3,0.95828,1.0765,12,1
1,2,2,2,1.8631,0.54495,12,1
1,2,1,1,1.2462,1.052,13,1
1,2,1,1,1.7914,0.70288,12,1
1,2,2,1,1.7087,0.42158,11,1
1,1,1,4,0.74174,0.62347,11,1
1,1,2,2,1.2441,0.54649,12,1
1,1,1,5,1.6767,1.9585,11,1
1,2,2,5,0.86904,0.38035,11,1
1,1,2,2,1.4872,0.60135,12,1
1,2,1,1,1.0261,0.88051,11,1
1,2,1,1,1.835,0.37557,10,1
1,1,1,5,0.66013,0.545,9,1
1,1,2,1,1.3263,3.0261,9,1
1,1,1,1,2.7611,0.64846,8,1
1,1,1,6,0.77113,0.77961,8,1
1,1,1,6,0.63965,0.46946,9,1
1,2,2,6,1.1778,0.34919,9,1
1,1,1,6,0.47826,0.31324,10,1
1,1,1,6,1.0581,0.3027,10,1
1,2,2,6,1.3726,0.43425,11,1
1,1,1,6,1.5133,0.4372,11,1
1,1,1,6,1.3541,0.37276,12,1
1,2,1,2,2.7747,0.78065,12,1
1,2,2,3,1.7589,0.48355,11,1
1,1,1,3,1.3679,0.36654,11,1
1,2,2,4,1.2326,0.90189,12,1
1,1,2,2,2.0694,1.194,12,1
1,2,2,4,1.1373,0.52918,11,1
1,1,1,5,0.99006,0.39715,11,1
1,1,1,5,1.2625,0.99384,12,1
1,1,1,5,0.76553,0.40593,12,1
1,2,1,5,1.3336,0.37535,13,1
1,1,1,3,1.1562,1.2997,12,1
1,1,2,3,1.7675,0.9847,12,1
1,2,2,1,1.4268,0.53573,11,1
1,1,1,2,0.9638,0.96476,11,1
1,1,1,5,0.5347,1.0592,12,1
1,2,2,5,1.5432,0.87713,12,1
1,2,2,4,0.71844,0.50255,13,1
1,2,2,2,2.1528,0.79717,13,1
1,2,2,1,1.1502,0.5475,14,1
1,2,2,2,1.255,0.38976,14,1
1,2,1,2,0.74163,0.5057,15,1
1,2,1,2,0.56183,0.34571,14,1
1,1,2,3,0.70567,0.60737,13,1
1,1,1,4,0.41214,0.61903,12,1
1,1,2,1,1.7281,0.91384,12,1
1,2,2,4,1.0176,1.0889,11,1
1,2,2,5,2.0105,0.8395,11,1
