Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Congruency,Accuracy
1,R,R,315.52,0.48,7.762,Congr,1
1,L,L,304.46,0.475,3.253,Neutr,1
1,L,L,308.8,0.417,4.324,Incongr,1
1,L,L,312.81,0.313,3.308,Congr,1
1,R,R,174.72,0.442,2.651,Incongr,1
1,R,R,288.2,0.373,4.152,Congr,1
1,R,R,303.43,0.468,4.533,Neutr,1
1,R,R,320.31,0.518,3.099,Neutr,1
1,L,R,58.68,0.303,4.743,Congr,0
1,L,NA,250.3,NA,3.984,Incongr,0
1,R,L,16.69,0.304,4.149,Incongr,0
1,L,L,316.08,0.428,4.264,Incongr,1
1,L,L,124.38,0.393,2.212,Incongr,1
1,R,R,326.02,0.367,2.309,Congr,1
1,R,R,283.81,0.35,2.006,Congr,1
1,L,L,340.95,0.333,3.417,Neutr,1
1,L,L,323.39,0.328,2.68,Congr,1
1,L,L,338.85,0.303,2.822,Neutr,1
1,R,R,311.81,0.398,1.971,Incongr,1
1,L,L,316.38,0.371,2.377,Incongr,1
1,R,R,302.02,0.345,2.98,Neutr,1
1,L,L,334.66,0.376,2.415,Congr,1
1,L,L,322.69,0.387,2.407,Neutr,1
1,R,R,186.13,0.54,2.574,Congr,1
1,R,R,280.83,0.394,2.823,Congr,1
1,L,L,287.76,0.377,3.26,Incongr,1
1,R,R,298.37,0.455,3.172,Incongr,1
1,R,R,301.79,0.395,1.917,Congr,1
1,L,L,311.66,0.513,3.487,Neutr,1
1,L,L,310.52,0.393,3.688,Incongr,1
1,R,R,294.82,0.653,2.628,Neutr,1
1,R,R,294.19,0.462,1.609,Congr,1
1,L,L,317.98,0.376,2.902,Congr,1
1,L,R,29.53,0.221,3.203,Neutr,0
1,R,R,294.24,0.4,2.569,Neutr,1
1,L,L,304.68,0.389,2.339,Congr,1
1,R,R,292.22,0.443,2.759,Incongr,1
1,R,R,280.13,0.392,2.42,Neutr,1
1,L,L,287.83,0.328,2.301,Congr,1
1,R,R,273.38,0.334,2.921,Congr,1
1,L,L,283.5,0.403,1.901,Neutr,1
1,L,L,307.43,0.391,2.425,Congr,1
1,L,L,288.03,0.348,2.442,Congr,1
1,L,L,279.23,0.288,2.092,Neutr,1
1,R,L,158.14,0.31,2.659,Neutr,0
1,L,L,228.11,0.425,3.284,Congr,1
1,L,L,337.84,0.329,2.237,Neutr,1
1,R,R,70.41,0.497,2.355,Incongr,1
1,R,R,295.16,0.467,3.554,Neutr,1
1,L,L,287.63,0.469,1.994,Incongr,1
1,R,R,302.76,0.505,2.347,Incongr,1
1,R,R,307.77,0.409,2.568,Neutr,1
1,L,L,300.72,0.485,3.567,Incongr,1
1,R,R,200.95,0.354,2.797,Congr,1
1,R,R,266.44,0.439,2.059,Incongr,1
1,L,L,272.56,0.389,2.306,Congr,1
1,R,R,287.78,0.473,2.965,Incongr,1
1,R,R,283.79,0.398,2.114,Neutr,1
1,R,R,273.51,0.348,2.438,Congr,1
1,R,R,274.88,0.407,3.376,Congr,1
1,L,L,262.96,0.471,3.248,Incongr,1
1,L,L,294.39,0.544,2.24,Neutr,1
1,L,L,284.58,0.337,2.369,Neutr,1
1,R,R,121.51,0.353,1.851,Neutr,1
1,L,L,243.22,0.439,3.381,Incongr,1
1,R,R,234.04,0.333,3.043,Incongr,1
1,R,R,297.42,0.329,2.607,Neutr,1
1,R,R,317.27,0.328,2.178,Incongr,1
1,L,L,199.22,0.426,2.543,Neutr,1
1,L,L,311.19,0.29,1.961,Congr,1
1,L,L,312.57,0.418,2.227,Incongr,1
1,R,L,17.94,0.41,2.214,Incongr,0
1,L,L,307.99,0.728,3.188,Congr,1
1,L,NA,296.64,NA,36.1,Neutr,0
1,R,R,310.08,0.391,2.716,Neutr,1
1,R,R,285.35,0.422,1.917,Neutr,1
