Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition
3,1,1,3,0.78504,0.46769,Small
3,5,2,2,1.1916,0.68439,Small
3,4,2,2,0.70196,0.33636,Small
3,4,1,3,0.69813,0.50831,Small
3,6,2,2,0.94861,0.30416,Small
3,3,2,2,0.92872,0.49643,Small
3,4,1,3,0.69245,0.4135,Small
3,3,1,3,0.80606,0.3017,Small
3,3,1,3,0.38091,0.70331,Small
3,6,2,3,0.649,0.2246,Small
3,7,2,3,0.60112,0.2234,Small
3,1,1,2,0.30776,0.25556,Small
3,5,2,1,0.71729,0.28364,Small
3,7,2,3,0.95323,0.2221,Small
3,2,1,3,0.46417,0.17178,Small
3,5,2,2,0.46171,0.65595,Small
3,4,2,3,1.187,0.22255,Small
3,1,1,3,0.32171,0.24013,Small
3,4,1,2,1.5605,0.84664,Small
3,1,1,3,0.64949,0.058483,Small
3,3,1,3,0.46029,0.25452,Small
3,3,2,2,1.0579,0.18805,Small
3,7,2,3,0.98057,0.70261,Small
3,5,1,2,0.74818,0.17586,Small
3,1,1,2,0.61222,1.0052,Small
3,7,2,3,0.23612,0.00063949,Small
3,2,1,3,0.60031,0.41462,Small
3,4,1,3,0.44828,0.57603,Small
3,3,1,2,1.3669,0.63837,Small
3,7,2,3,0.25344,0.000524,Small
3,4,1,3,0.50039,0.54267,Small
3,3,2,1,0.38195,0.93775,Small
3,1,1,3,0.68172,0.36802,Small
3,5,1,3,1.0407,0.55908,Small
3,6,2,3,0.75505,0.23987,Small
3,5,2,3,0.74184,0.56001,Small
3,2,1,2,0.85761,0.31585,Small
3,3,1,3,0.96547,0.65299,Small
3,7,2,3,0.68423,0.57182,Small
3,4,1,2,1.1001,0.20643,Small
3,6,2,3,0.76955,0.17039,Small
3,4,2,2,1.135,0.19181,Small
3,7,2,2,0.68035,0.36658,Small
3,3,1,3,0.85347,0.35042,Small
3,2,1,3,0.68941,0.18643,Small
3,6,2,3,0.5607,0.68658,Small
3,6,1,2,0.55228,0.25337,Small
3,5,1,2,1.5895,0.57677,Small
3,3,1,3,0.26676,0.22242,Small
3,5,1,3,0.35748,0.39601,Small
3,6,1,3,0.78174,0.27211,Small
3,2,1,2,0.8056,0.17345,Small
3,2,1,3,0.57228,0.44521,Small
3,4,2,2,1.0163,0.84256,Small
3,7,2,3,0.3786,0.71679,Small
3,3,1,3,0.53589,0.18631,Small
3,6,2,3,0.27359,0.22268,Small
3,1,1,3,0.98568,0.49329,Small
3,2,1,2,1.3459,0.093274,Small
3,4,1,3,0.32041,0.15886,Small
3,1,1,2,0.29402,0.351,Small
3,7,2,3,0.36871,0.24056,Small
3,4,1,3,0.74357,0.20324,Small
3,1,1,3,0.91426,0.15929,Small
3,2,1,3,0.93054,0.17125,Small
3,6,2,3,0.28658,0.22232,Small
3,6,1,2,0.436,0.22517,Small
3,1,1,3,0.41476,0.031868,Small
3,5,1,3,0.21222,0.00054487,Small
3,3,2,3,0.36194,0.17622,Small
3,7,2,2,1.0421,0.20837,Small
3,5,1,3,0.6953,0.2562,Small
3,6,2,3,0.31677,0.18717,Small
3,1,1,3,0.37289,0.19923,Small
3,2,2,2,1.0932,0.14181,Small
3,2,1,3,0.46913,0.21825,Small
3,2,1,3,0.41194,0.17286,Small
3,2,2,2,0.56823,0.14389,Small
3,6,2,3,0.65106,0.13992,Small
3,7,2,3,0.69384,0.15875,Small
3,1,1,3,0.28042,0.078839,Small
3,5,2,2,0.7995,0.49379,Small
3,5,2,3,0.38216,0.4324,Small
3,7,2,2,0.58219,0.11249,Small
3,6,1,2,1.0942,0.2711,Small
3,5,2,3,1.0397,0.81373,Small
3,1,2,1,0.52993,0.77918,Small
3,6,2,3,0.35251,0.71757,Small
3,2,1,3,0.28598,0.78166,Small
3,7,2,3,0.41677,0.33117,Small
3,2,1,3,0.83697,0.71531,Small
3,1,1,3,0.57965,0.17399,Small
3,1,1,2,0.76508,0.17281,Small
3,6,2,3,0.23874,0.26899,Small
3,7,2,3,0.83617,0.14511,Small
3,6,2,3,0.55074,0.53993,Small
3,2,1,2,0.26958,0.38813,Small
3,5,1,2,0.4151,0.24005,Small
3,4,2,3,0.66181,0.12805,Small
3,3,1,3,0.43536,0.16037,Small
3,1,1,3,0.37696,0.39545,Small
3,4,1,3,0.56505,0.012691,Small
3,3,2,2,0.5507,0.13975,Small
3,3,1,2,0.23382,0.2868,Small
3,5,1,3,0.86981,0.1228,Small
3,2,2,3,0.51018,0.50706,Small
3,2,1,3,0.011539,0.7325,Small
3,3,1,3,0.55038,1.0834,Small
3,4,2,3,0.25444,0.78333,Small
3,5,2,3,0.55193,0.28462,Small
3,3,1,2,0.26262,0.80117,Small
3,6,2,3,0.47464,0.46359,Small
3,7,2,3,0.32661,0.25423,Small
3,6,1,2,0.41228,0.14142,Small
3,7,2,3,1.1257,0.22122,Small
3,6,2,3,0.46956,0.2092,Small
3,4,1,3,0.53216,0.5092,Small
3,5,2,3,0.311,0.23602,Small
3,6,1,2,0.90568,0.46134,Small
3,1,1,3,0.7631,0.34674,Small
3,7,2,3,0.73798,0.39624,Small
3,4,2,3,1.106,0.44561,Small
3,5,2,3,1.0099,0.17079,Small
3,1,1,3,1.2139,0.22292,Small
3,2,1,2,0.7754,0.032472,Small
3,3,2,2,0.71178,0.46074,Small
3,1,1,3,0.26647,0.59026,Small
3,3,1,2,0.73857,0.38091,Small
3,2,1,3,0.2398,0.046313,Small
3,4,2,3,0.2028,0.49727,Small
3,5,1,3,0.45754,0.25193,Small
3,6,1,3,0.38051,0.07894,Small
3,6,2,3,0.36075,0.51126,Small
3,5,2,2,0.83297,0.35,Small
3,3,1,3,0.10122,0.23945,Small
3,2,1,3,0.25978,0.039681,Small
3,3,2,2,0.16279,0.19318,Small
3,4,1,3,0.00048614,0.17903,Small
3,7,2,2,0.49819,0.20442,Small
3,2,1,3,0.301,0.17532,Small
3,3,2,3,0.00055046,0.23833,Small
3,4,1,2,1.0695,0.5291,Small
3,7,2,3,0.57232,0.62126,Small
3,7,2,3,0.47752,0.21999,Small
3,6,1,2,0.98566,0.093345,Small
3,7,2,3,0.50179,0.19209,Small
3,1,1,3,0.36988,0.059088,Small
3,1,1,3,0.23421,0.047462,Small
3,1,1,3,0.19182,0.060954,Small
3,7,2,3,0.28274,0.0007042,Small
3,3,1,3,0.89908,0.20537,Small
3,3,2,2,0.035258,0.22454,Small
3,4,2,2,0.015479,0.14469,Small
3,7,2,3,0.52897,0.62451,Small
3,6,2,3,0.67692,0.07518,Small
3,1,1,3,1.249,0.25637,Small
3,5,2,2,0.21681,0.1074,Small
3,4,1,2,0.90634,0.014121,Small
3,5,1,3,0.68933,0.209,Small
3,4,1,3,0.23469,0.079867,Small
3,2,1,3,0.65889,0.061075,Small
3,2,1,3,0.65516,0.12818,Small
3,4,1,2,0.25526,0.41647,Small
3,5,1,2,0.16469,0.33264,Small
