Subj_idx,Stimulus,Response,Confidence,Order,Scale
37,2,2,3,DS,PAS
37,2,2,3,DS,PAS
37,1,1,3,DS,PAS
37,1,1,3,DS,PAS
37,1,1,3,DS,PAS
37,1,1,3,DS,PAS
37,2,2,3,DS,PAS
37,2,2,3,DS,PAS
37,1,1,2,DS,PAS
37,1,1,2,DS,PAS
37,2,2,3,DS,PAS
37,1,1,4,DS,PAS
37,2,2,3,DS,PAS
37,2,2,2,DS,PAS
37,2,2,4,DS,PAS
37,2,2,3,DS,PAS
37,1,1,3,DS,PAS
37,2,2,3,DS,PAS
37,2,2,4,DS,PAS
37,2,2,3,DS,PAS
37,1,2,2,DS,PAS
37,1,1,3,DS,PAS
37,1,1,2,DS,PAS
37,2,2,3,DS,PAS
37,1,1,2,DS,PAS
37,1,1,3,DS,PAS
37,2,2,4,DS,PAS
37,2,2,4,DS,PAS
37,1,2,3,DS,PAS
37,2,2,3,DS,PAS
37,1,2,3,DS,PAS
37,1,2,4,DS,PAS
37,2,2,4,DS,PAS
37,2,2,2,DS,PAS
37,1,1,3,DS,PAS
37,2,2,4,DS,PAS
37,1,1,2,DS,PAS
37,1,1,2,DS,PAS
37,1,1,3,DS,PAS
37,2,2,4,DS,PAS
37,2,2,4,DS,PAS
37,2,1,2,DS,PAS
37,2,1,3,DS,PAS
37,1,1,3,DS,PAS
37,1,1,4,DS,PAS
37,1,1,3,DS,PAS
37,2,2,4,DS,PAS
37,1,2,3,DS,PAS
37,1,2,3,DS,PAS
37,1,1,2,DS,PAS
37,2,1,3,DS,PAS
37,1,1,3,DS,PAS
37,2,2,4,DS,PAS
37,2,2,3,DS,PAS
37,2,2,4,DS,PAS
37,1,1,3,DS,PAS
37,2,2,4,DS,PAS
37,2,2,4,DS,PAS
37,1,1,2,DS,PAS
37,1,1,3,DS,PAS
173,2,NaN,2,DS,PAS
173,2,1,3,DS,PAS
173,1,NaN,2,DS,PAS
173,1,1,3,DS,PAS
173,1,1,3,DS,PAS
173,1,1,3,DS,PAS
173,2,1,4,DS,PAS
173,2,1,2,DS,PAS
173,1,2,2,DS,PAS
173,1,1,4,DS,PAS
173,2,2,4,DS,PAS
173,1,1,3,DS,PAS
173,2,1,3,DS,PAS
173,2,1,4,DS,PAS
173,2,1,3,DS,PAS
173,2,2,4,DS,PAS
173,1,1,2,DS,PAS
173,2,2,3,DS,PAS
173,2,2,4,DS,PAS
173,2,2,4,DS,PAS
173,1,1,3,DS,PAS
173,1,1,3,DS,PAS
173,1,1,3,DS,PAS
173,2,2,3,DS,PAS
173,1,1,3,DS,PAS
173,1,1,2,DS,PAS
173,2,2,3,DS,PAS
173,2,2,3,DS,PAS
173,1,1,3,DS,PAS
173,2,1,2,DS,PAS
173,1,1,1,DS,PAS
173,1,2,2,DS,PAS
173,2,1,3,DS,PAS
173,2,2,3,DS,PAS
173,1,2,2,DS,PAS
173,2,2,4,DS,PAS
173,1,1,3,DS,PAS
173,1,2,2,DS,PAS
173,1,1,2,DS,PAS
173,2,2,4,DS,PAS
173,2,2,4,DS,PAS
173,2,2,2,DS,PAS
173,2,1,2,DS,PAS
173,1,1,2,DS,PAS
173,1,2,2,DS,PAS
173,1,2,1,DS,PAS
173,2,2,4,DS,PAS
173,1,1,3,DS,PAS
173,1,1,2,DS,PAS
173,1,1,2,DS,PAS
173,2,1,1,DS,PAS
173,1,1,3,DS,PAS
173,2,2,4,DS,PAS
173,2,1,2,DS,PAS
173,2,2,3,DS,PAS
173,1,2,2,DS,PAS
173,2,2,2,DS,PAS
173,2,2,4,DS,PAS
173,1,1,2,DS,PAS
173,1,1,3,DS,PAS
110,2,1,1,DS,PAS
110,2,2,2,DS,PAS
110,1,1,2,DS,PAS
110,1,1,2,DS,PAS
110,1,1,1,DS,PAS
110,1,1,1,DS,PAS
110,2,2,2,DS,PAS
110,2,1,1,DS,PAS
110,1,1,2,DS,PAS
110,1,1,1,DS,PAS
110,2,2,2,DS,PAS
110,1,1,2,DS,PAS
110,2,2,2,DS,PAS
110,2,2,2,DS,PAS
110,2,2,2,DS,PAS
110,2,2,2,DS,PAS
110,1,1,2,DS,PAS
110,2,2,2,DS,PAS
110,2,2,4,DS,PAS
110,2,2,3,DS,PAS
110,1,1,1,DS,PAS
110,1,1,2,DS,PAS
110,1,1,1,DS,PAS
110,2,2,2,DS,PAS
110,1,1,1,DS,PAS
110,1,1,2,DS,PAS
110,2,2,2,DS,PAS
110,2,2,2,DS,PAS
110,1,1,2,DS,PAS
110,2,1,1,DS,PAS
110,1,1,2,DS,PAS
110,1,1,1,DS,PAS
110,2,2,2,DS,PAS
110,2,2,2,DS,PAS
110,1,1,2,DS,PAS
110,2,2,3,DS,PAS
110,1,1,2,DS,PAS
110,1,1,2,DS,PAS
110,1,1,1,DS,PAS
110,2,1,1,DS,PAS
110,2,2,2,DS,PAS
110,2,1,2,DS,PAS
110,2,1,1,DS,PAS
110,1,1,1,DS,PAS
110,1,1,1,DS,PAS
110,1,1,2,DS,PAS
110,2,2,3,DS,PAS
110,1,1,2,DS,PAS
110,1,1,3,DS,PAS
110,1,1,3,DS,PAS
110,2,2,3,DS,PAS
110,1,1,3,DS,PAS
110,2,2,3,DS,PAS
110,2,2,1,DS,PAS
110,2,2,2,DS,PAS
110,1,1,2,DS,PAS
110,2,2,2,DS,PAS
110,2,2,3,DS,PAS
110,1,1,2,DS,PAS
110,1,1,1,DS,PAS
149,2,2,2,DS,PAS
149,2,2,2,DS,PAS
149,1,1,1,DS,PAS
149,1,1,1,DS,PAS
149,1,1,1,DS,PAS
149,1,1,3,DS,PAS
149,2,2,2,DS,PAS
149,2,2,2,DS,PAS
149,1,1,1,DS,PAS
149,1,2,1,DS,PAS
149,2,2,1,DS,PAS
149,1,1,1,DS,PAS
149,2,2,3,DS,PAS
149,2,1,1,DS,PAS
149,2,2,1,DS,PAS
149,2,2,1,DS,PAS
149,1,1,2,DS,PAS
149,2,2,3,DS,PAS
149,2,2,4,DS,PAS
149,2,2,3,DS,PAS
149,1,1,1,DS,PAS
149,1,1,1,DS,PAS
149,1,1,1,DS,PAS
149,2,2,2,DS,PAS
149,1,2,1,DS,PAS
149,1,1,2,DS,PAS
149,2,2,2,DS,PAS
149,2,2,2,DS,PAS
149,1,1,1,DS,PAS
149,2,2,2,DS,PAS
149,1,1,1,DS,PAS
149,1,2,3,DS,PAS
149,2,2,3,DS,PAS
149,2,2,2,DS,PAS
149,1,1,1,DS,PAS
149,2,2,2,DS,PAS
149,1,1,1,DS,PAS
149,1,2,2,DS,PAS
149,1,2,1,DS,PAS
149,2,2,3,DS,PAS
149,2,2,2,DS,PAS
149,2,2,2,DS,PAS
149,2,2,2,DS,PAS
149,1,1,3,DS,PAS
149,1,2,1,DS,PAS
149,1,1,2,DS,PAS
149,2,2,2,DS,PAS
149,1,1,1,DS,PAS
149,1,1,2,DS,PAS
149,1,2,2,DS,PAS
149,2,2,3,DS,PAS
149,1,1,1,DS,PAS
149,2,2,3,DS,PAS
149,2,2,3,DS,PAS
149,2,2,3,DS,PAS
149,1,1,2,DS,PAS
149,2,2,2,DS,PAS
149,2,1,2,DS,PAS
149,1,1,2,DS,PAS
149,1,1,1,DS,PAS
116,2,1,1,DS,PAS
116,2,2,2,DS,PAS
116,1,1,1,DS,PAS
116,1,1,1,DS,PAS
116,1,1,1,DS,PAS
116,1,1,1,DS,PAS
116,2,2,1,DS,PAS
116,2,1,1,DS,PAS
116,1,1,1,DS,PAS
116,1,1,1,DS,PAS
116,2,2,1,DS,PAS
116,1,1,1,DS,PAS
116,2,1,1,DS,PAS
116,2,1,1,DS,PAS
116,2,1,1,DS,PAS
116,2,2,1,DS,PAS
116,1,1,1,DS,PAS
116,2,2,1,DS,PAS
116,2,2,1,DS,PAS
116,2,2,1,DS,PAS
116,1,2,1,DS,PAS
116,1,2,1,DS,PAS
116,1,1,1,DS,PAS
116,2,1,1,DS,PAS
116,1,1,1,DS,PAS
116,1,2,1,DS,PAS
116,2,2,1,DS,PAS
116,2,2,1,DS,PAS
116,1,2,1,DS,PAS
116,2,2,1,DS,PAS
116,1,2,1,DS,PAS
116,1,2,1,DS,PAS
116,2,1,1,DS,PAS
116,2,1,1,DS,PAS
116,1,2,1,DS,PAS
116,2,2,1,DS,PAS
116,1,1,1,DS,PAS
116,1,2,1,DS,PAS
116,1,1,1,DS,PAS
116,2,1,1,DS,PAS
116,2,1,NaN,DS,PAS
116,2,1,1,DS,PAS
116,2,1,1,DS,PAS
116,1,2,1,DS,PAS
116,1,1,1,DS,PAS
116,1,1,1,DS,PAS
116,2,2,NaN,DS,PAS
116,1,2,1,DS,PAS
116,1,2,1,DS,PAS
116,1,2,1,DS,PAS
116,2,2,1,DS,PAS
116,1,2,1,DS,PAS
116,2,1,1,DS,PAS
116,2,1,1,DS,PAS
116,2,2,1,DS,PAS
116,1,1,1,DS,PAS
116,2,1,1,DS,PAS
116,2,1,1,DS,PAS
116,1,1,1,DS,PAS
116,1,1,1,DS,PAS
162,2,2,NaN,DS,P
162,2,2,4,DS,P
162,1,1,3,DS,P
162,1,1,3,DS,P
162,1,2,2,DS,P
162,1,2,3,DS,P
162,2,2,4,DS,P
162,2,2,4,DS,P
162,1,1,2,DS,P
162,1,2,3,DS,P
162,2,2,3,DS,P
162,1,1,2,DS,P
162,2,2,4,DS,P
162,2,1,3,DS,P
162,2,2,3,DS,P
162,2,2,3,DS,P
162,1,1,2,DS,P
162,2,2,3,DS,P
162,2,2,4,DS,P
162,2,2,4,DS,P
162,1,1,3,DS,P
162,1,1,3,DS,P
162,1,1,2,DS,P
162,2,2,4,DS,P
162,1,1,3,DS,P
162,1,1,3,DS,P
162,2,2,4,DS,P
162,2,2,3,DS,P
162,1,2,2,DS,P
162,2,2,3,DS,P
162,1,1,3,DS,P
162,1,1,3,DS,P
162,2,2,2,DS,P
162,2,2,4,DS,P
162,1,1,2,DS,P
162,2,2,3,DS,P
162,1,1,1,DS,P
162,1,2,3,DS,P
162,1,2,NaN,DS,P
162,2,2,NaN,DS,P
162,2,2,3,DS,P
162,2,1,4,DS,P
162,2,2,3,DS,P
162,1,1,1,DS,P
162,1,2,2,DS,P
