Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Condition
1,1,2,0.255859375,0.983,2.501,32,cpas
1,2,2,0.225260417,0.965,1.039,16,cpas
1,2,1,0.160807292,1.713,1.393,32,cpas
1,2,2,0.201171875,1.007,1.483,16,cpas
1,1,1,0.029296875,1.268,1.763,32,cpas
1,2,2,0.056640625,0.957,2.083,16,cpas
1,1,2,0.0546875,1.604,1.767,32,cpas
1,2,2,0.054036458,1.907,1.276,16,cpas
1,2,2,0.119791667,1,0.741,64,cpas
1,2,2,0.063802083,0.924,1.426,32,cpas
1,1,1,0.193359375,0.812,1.26,64,cpas
1,1,1,0.244791667,1.283,2,128,cpas
1,2,1,0.139973958,1.424,0.593,16,cpas
1,1,1,0.257161458,0.768,0.98,64,cpas
1,2,2,0.265625,0.799,0.906,128,cpas
1,2,2,0.227864583,0.801,1.733,32,cpas
1,2,2,0.330078125,0.753,0.813,128,cpas
1,1,1,0.294270833,0.763,1.747,64,cpas
1,1,1,0.255208333,0.682,1.222,32,cpas
1,2,2,0.37890625,0.706,0.886,128,cpas
1,2,2,0.2578125,0.639,2.616,16,cpas
1,2,2,0.206380208,0.655,0.561,32,cpas
1,1,1,0.358723958,0.554,0.806,128,cpas
1,2,2,0.295572917,0.808,1.109,64,cpas
1,2,1,0.192057292,0.545,0.601,32,cpas
1,2,2,0.037760417,1.066,0.738,32,cpas
1,2,2,0.333984375,0.649,1.763,128,cpas
1,1,1,0.233723958,0.709,1.137,32,cpas
1,1,2,0.345052083,0.791,1.249,32,cpas
1,2,2,0.376302083,0.715,1.056,64,cpas
1,2,2,0.255859375,0.742,1.234,32,cpas
1,2,2,0.256510417,0.684,0.92,64,cpas
1,2,2,0.16796875,1.222,0.758,32,cpas
1,2,2,0.026692708,0.855,0.796,32,cpas
1,2,2,0.416015625,0.686,1.495,128,cpas
1,1,1,0.393880208,0.731,1.306,64,cpas
1,1,1,0.5,0.737,2.445,128,cpas
1,1,1,0.360677083,0.973,0.97,64,cpas
1,1,1,0.33984375,0.773,1.399,32,cpas
1,1,1,0.4140625,0.732,1.054,64,cpas
1,1,1,0.315104167,0.602,0.863,16,cpas
1,1,1,0.315755208,0.75,1.449,16,cpas
1,2,1,0.272786458,1.068,0.923,32,cpas
1,1,1,0.352864583,0.636,0.806,64,cpas
1,2,1,0.311848958,0.708,1.075,16,cpas
1,2,2,0.156901042,1.176,0.722,16,cpas
1,2,2,0.455078125,0.762,1.881,128,cpas
1,2,1,0.051432292,5.655,2.47,16,cpas
1,1,1,0.287760417,0.61,2.892,64,cpas
1,2,1,0.208984375,0.582,1.073,32,cpas
1,2,2,0.44140625,0.507,1.395,128,cpas
1,1,1,0.26171875,0.663,1.834,16,cpas
1,2,2,0.100260417,0.949,0.983,32,cpas
1,1,1,0.0859375,0.816,1.494,32,cpas
1,2,2,0.333333333,0.732,1.15,64,cpas
1,2,1,0.108072917,1.396,0.801,16,cpas
1,2,1,0.009114583,1.121,1.234,32,cpas
1,1,1,0.286458333,0.829,0.92,64,cpas
1,2,2,0.296875,0.76,1.041,64,cpas
1,2,2,0.002604167,1.192,0.757,16,cpas
1,1,1,0.369140625,0.488,0.921,128,cpas
1,1,1,0.390625,0.654,2.097,128,cpas
