Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Coherence,Condition,Training
1,1,1,3,1.03918593800017,0.627987565000012,0.09,0,1
1,1,1,4,0.674515127000177,0.277828564999936,0.09,0,1
1,1,1,3,1.62276209499987,0.483723403000113,0.07,0,1
1,2,2,3,0.559682898000119,0.327826292000054,0.07,0,1
1,1,2,3,1.11501460999989,0.188405403999923,0.05,0,1
1,1,1,2,0.328433435000079,0.346082064000029,0.07,0,1
1,2,2,3,0.248473375999993,0.253549899999825,0.07,0,1
1,2,1,1,1.18745119599998,0.385906552000051,0.06,0,1
1,1,1,1,0.905992691999927,0.292435313999931,0.07,0,1
1,1,2,1,1.26440080600014,0.475797954999962,0.07,0,1
1,1,1,3,0.388781081000161,1.30034427200007,0.08,0,1
1,2,2,3,0.274529968000024,0.246783649999998,0.08,0,1
1,2,2,3,0.556858427999941,0.29361328899995,0.07,0,1
1,1,1,2,0.538093911000033,0.371527792000052,0.07,0,1
1,2,2,1,3.79645713200011,0.375723491999906,0.06,0,1
1,1,1,3,0.556403559000046,0.420894627000052,0.06,0,1
1,2,2,2,0.57990755700007,0.859302369000034,0.05,0,1
1,2,2,2,1.64049027599981,0.372799717999897,0.05,0,1
1,1,1,1,1.02952726099988,0.602563589000056,0.04,0,1
1,1,1,2,0.83360137700015,0.622689051999942,0.04,0,1
1,2,1,1,0.413155845000119,0.443186493999974,0.03,0,1
1,1,1,1,0.833290757999976,0.510356394999917,0.04,0,1
1,1,1,1,0.861527160999913,0.329271389000041,0.04,0,1
1,1,1,1,0.667822405000152,0.495727775999967,0.03,0,1
1,2,1,1,1.01173807299983,0.505191620999994,0.03,0,1
1,2,2,2,0.276474417999907,0.74429189500006,0.04,0,1
1,1,1,2,0.281500928000014,0.509237747999805,0.04,0,1
1,2,2,2,0.520734031999837,0.354937886000016,0.03,0,1
1,2,1,2,1.13658867000004,0.321056076999866,0.03,0,1
1,2,1,1,0.380183250000073,0.347650417000068,0.04,0,1
1,1,2,1,0.66992271800018,0.513844969000047,0.05,0,1
1,2,1,2,0.765556887999992,0.349253140999963,0.06,0,1
1,2,2,3,0.318867006000119,0.289105089000032,0.07,0,1
1,2,2,3,0.245401678999997,0.234279321000031,0.07,0,1
1,1,1,3,0.280552805999832,0.268331731999979,0.06,0,1
1,1,1,3,0.948984345000099,0.381400440999869,0.06,0,1
1,1,2,3,0.638010257999895,1.10697156099991,0.05,0,1
1,2,2,3,0.262181591999934,0.218496211999991,0.06,0,1
1,2,2,3,0.217514816999937,0.271705950999831,0.06,0,1
1,2,2,3,0.776577137999993,0.215797492999855,0.05,0,1
1,2,2,3,0.676496972999985,0.263708353000084,0.11,1,1
1,1,1,4,0.253021424000053,0.30581270499988,0.11,1,1
1,2,2,4,0.265435248000131,0.25379596300013,0.09,1,1
1,2,2,4,0.259027609999976,0.295422875999975,0.09,1,1
1,1,2,4,0.315812864000009,0.286293647000093,0.07,1,1
1,1,1,2,1.10672594700009,0.740827981999928,0.09,1,1
1,1,1,2,1.3746448400002,0.597610056999883,0.09,1,1
1,1,1,2,0.893226301999903,0.951632426999822,0.08,1,1
1,1,2,2,0.368373040000051,0.49641188999999,0.08,1,1
1,1,2,2,2.83664334399987,0.319379521000201,0.09,1,1
1,2,2,3,0.41010458400001,0.32832455699986,0.1,1,1
1,1,2,3,0.67117677400006,0.738998354999922,0.1,1,1
1,1,1,3,0.312666929999978,0.378939017999983,0.11,1,1
1,2,2,3,0.287499947000015,0.291413132000116,0.11,1,1
1,2,2,4,0.267525922000004,0.36785540599999,0.1,1,1
1,2,2,4,0.276517493000028,0.248080853000147,0.1,1,1
1,2,2,4,0.31043790800004,0.248612309999999,0.09,1,1
1,2,2,4,0.25110638000001,0.272169977999965,0.09,1,1
1,2,2,4,0.249105608000036,0.285881828999891,0.08,1,1
1,2,2,4,0.282330132999959,0.269918999000083,0.08,1,1
1,1,1,4,0.398805551000123,0.349815044000024,0.07,1,1
1,1,2,4,0.479099307999832,0.250334146000114,0.07,1,1
1,2,2,3,0.252289780999945,0.321050712999977,0.08,1,1
1,2,1,3,0.352234118000069,0.721060030999979,0.08,1,1
1,1,1,2,0.707875226000169,0.32615554899985,0.09,1,1
1,2,2,3,0.301231962999964,0.272114123999927,0.09,1,1
1,1,1,3,0.257174901000099,0.278156901999864,0.08,1,1
1,2,2,2,0.238786076999986,0.45270533300004,0.08,1,1
1,2,2,3,0.378025182000101,0.393601790000048,0.07,1,1
1,1,1,2,2.79358360499987,0.485490373000175,0.07,1,1
1,2,2,4,0.801869267000029,0.544335201999957,0.06,1,1
1,1,1,3,0.394593984000039,0.425253526999995,0.06,1,1
1,1,2,3,0.580131259999916,0.491515715000105,0.05,1,1
1,1,1,2,0.419740626000021,0.337651911999956,0.06,1,1
1,2,2,3,0.223998940999991,0.390485845000057,0.06,1,1
1,2,2,3,0.486830455000018,0.386379457999965,0.05,1,1
1,1,1,3,0.214257539000073,0.252587922999965,0.05,1,1
1,1,2,4,0.29403878700009,0.313183577000018,0.04,1,1
1,2,2,3,0.256648464999898,0.293551327000159,0.05,1,1
1,1,1,3,0.281639151000036,0.269325997999886,0.05,1,1
1,1,1,4,0.688217137000038,0.35547700699999,0.04,1,0
1,2,2,4,0.289227377000088,0.276233405000085,0.04,1,0
1,2,2,3,0.761150717000191,0.745127661999959,0.02,1,0
1,1,2,3,0.466692207000051,0.254900248000013,0.02,1,0
1,1,1,4,0.260682610999993,0.280862532000128,0.04,1,0
1,2,2,4,0.28538368999989,0.289109736,0.04,1,0
1,2,2,4,0.253559484000107,0.274304555999834,0.03,1,0
1,2,2,4,0.247131705000129,0.28423224900007,0.03,1,0
1,1,1,3,0.496245812000097,0.522821154999974,0.02,1,0
1,1,2,4,0.277624026000012,0.297351652000089,0.02,1,0
1,2,2,4,0.265653724000003,0.270034063000139,0.03,1,0
1,1,2,3,0.559064802999956,0.247013329999845,0.03,1,0
1,1,2,4,0.29353917200001,0.328280165999786,0.04,1,0
1,1,1,4,0.283022004999793,0.270634652000126,0.05,1,0
1,2,1,3,0.579363399000158,1.00256982300016,0.05,1,0
1,2,2,4,0.28918256299994,0.245076916000016,0.06,1,0
1,1,1,4,0.251511519000132,0.272399766000035,0.06,1,0
1,1,1,4,0.249351165999997,0.366454578999992,0.05,1,0
1,1,1,4,0.302993229000094,0.273947917999976,0.05,1,0
1,1,1,4,0.254687200000035,0.259909057999948,0.04,1,0
1,1,1,4,0.405621074999999,0.27629462699997,0.04,1,0
1,1,2,3,0.361515315000133,0.585917226999982,0.03,1,0
1,2,1,3,1.39340222099986,0.263178343999925,0.04,1,0
1,1,1,3,0.288740318999999,0.292350316000011,0.05,1,0
1,2,2,3,0.256524956000021,0.261601070999859,0.05,1,0
1,2,2,3,0.4234702440001,0.261370872000043,0.04,1,0
1,2,2,3,0.427486485999907,0.200655360000155,0.04,1,0
1,2,2,3,0.500459374000002,0.239191652000045,0.03,1,0
1,2,1,2,0.913614556000084,0.267228861999911,0.03,1,0
1,2,1,1,1.06412177200014,1.62756921499999,0.04,1,0
1,2,2,2,0.585098361000064,0.560360321999951,0.05,1,0
1,1,1,4,0.35799004799992,0.278801467999983,0.05,1,0
1,1,2,4,1.14393829300002,0.231743249999909,0.04,1,0
1,2,2,1,1.44614954100007,0.361986053999999,0.05,1,0
1,2,1,4,0.319262383000023,0.289664030999802,0.05,1,0
1,1,1,4,0.505649031000075,0.276521203999891,0.06,1,0
1,1,1,4,0.273301189999984,0.245756461999918,0.06,1,0
1,1,1,4,0.207814118999977,0.27902297300011,0.05,1,0
1,2,2,4,0.215996207999979,0.286378954999918,0.05,1,0
1,1,1,4,0.226873184999931,0.264629832000082,0.04,1,0
1,2,2,4,0.214281902000039,0.300520776999974,0.04,1,0
1,1,1,4,0.228054116000067,0.249627293999993,0.03,1,0
